"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","7/127","273/18862",0.00251922846588748,0.139594990534249,0.129732003740592,"CCT5/ATM/TRAPPC12/ATRX/NSD3/HDAC8/TCP1",7
"GO:0051656","BP","GO:0051656","establishment of organelle localization","9/127","431/18862",0.0025796644696967,0.139594990534249,0.129732003740592,"SPIRE2/TFG/SCFD1/ATM/TRAPPC12/CEP83/FNBP1L/PPP6R3/XPO1",9
"GO:0050913","BP","GO:0050913","sensory perception of bitter taste","3/127","41/18862",0.00263637335519312,0.139594990534249,0.129732003740592,"TAS2R3/TAS2R4/TAS2R5",3
"GO:0050912","BP","GO:0050912","detection of chemical stimulus involved in sensory perception of taste","3/127","42/18862",0.00282532789546236,0.139594990534249,0.129732003740592,"TAS2R3/TAS2R4/TAS2R5",3
"GO:0007077","BP","GO:0007077","mitotic nuclear envelope disassembly","2/127","12/18862",0.00284039434833955,0.139594990534249,0.129732003740592,"PRKCB/CDK1",2
"GO:0070202","BP","GO:0070202","regulation of establishment of protein localization to chromosome","2/127","12/18862",0.00284039434833955,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:1903405","BP","GO:1903405","protein localization to nuclear body","2/127","12/18862",0.00284039434833955,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:1904816","BP","GO:1904816","positive regulation of protein localization to chromosome, telomeric region","2/127","12/18862",0.00284039434833955,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:1904867","BP","GO:1904867","protein localization to Cajal body","2/127","12/18862",0.00284039434833955,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:0007339","BP","GO:0007339","binding of sperm to zona pellucida","3/127","44/18862",0.00322777035632507,0.154856125428453,0.143914873782013,"CCT5/TCP1/UBAP2L",3
"GO:1904814","BP","GO:1904814","regulation of protein localization to chromosome, telomeric region","2/127","14/18862",0.00388195659656563,0.174382382889734,0.162061517127249,"CCT5/TCP1",2
"GO:1990173","BP","GO:1990173","protein localization to nucleoplasm","2/127","14/18862",0.00388195659656563,0.174382382889734,0.162061517127249,"CCT5/TCP1",2
"GO:0016574","BP","GO:0016574","histone ubiquitination","3/127","47/18862",0.00389439564766156,0.174382382889734,0.162061517127249,"USP22/WAC/TRIP12",3
"GO:0046474","BP","GO:0046474","glycerophospholipid biosynthetic process","6/127","227/18862",0.00439313391857952,0.181682649700457,0.168845988672907,"AGPAT1/ABHD4/ATM/ETNK1/PLEKHA1/MTMR1",6
"GO:0030397","BP","GO:0030397","membrane disassembly","2/127","15/18862",0.0044595124296943,0.181682649700457,0.168845988672907,"PRKCB/CDK1",2
"GO:0051081","BP","GO:0051081","nuclear envelope disassembly","2/127","15/18862",0.0044595124296943,0.181682649700457,0.168845988672907,"PRKCB/CDK1",2
"GO:1904874","BP","GO:1904874","positive regulation of telomerase RNA localization to Cajal body","2/127","15/18862",0.0044595124296943,0.181682649700457,0.168845988672907,"CCT5/TCP1",2
"GO:0021510","BP","GO:0021510","spinal cord development","4/127","99/18862",0.00450825433499893,0.181682649700457,0.168845988672907,"WNT3A/SUZ12/INTU/PAX6",4
"GO:0000723","BP","GO:0000723","telomere maintenance","5/127","161/18862",0.00469443828602589,0.185476336202788,0.17237163489866,"CCT5/ATM/ATRX/HDAC8/TCP1",5
"GO:2001252","BP","GO:2001252","positive regulation of chromosome organization","5/127","164/18862",0.00507308975114373,0.19004349289072,0.176616102312964,"CCT5/ATM/ATRX/NSD3/TCP1",5
"GO:0006403","BP","GO:0006403","RNA localization","6/127","234/18862",0.00508562107265773,0.19004349289072,0.176616102312964,"WDR33/SRRM1/CCT5/ATM/TCP1/XPO1",6
"GO:0032210","BP","GO:0032210","regulation of telomere maintenance via telomerase","3/127","52/18862",0.00517997946861277,0.19004349289072,0.176616102312964,"CCT5/ATM/TCP1",3
"GO:0032526","BP","GO:0032526","response to retinoic acid","4/127","103/18862",0.00518729136922562,0.19004349289072,0.176616102312964,"WNT3A/ASXL1/SUZ12/ATM",4
"GO:0010256","BP","GO:0010256","endomembrane system organization","9/127","482/18862",0.0053561606563455,0.192726137902432,0.179109206910501,"EMD/PRKCB/PDCD6IP/AKT2/ANKLE2/TRAPPC12/FNBP1L/FAT4/CDK1",9
"GO:0043968","BP","GO:0043968","histone H2A acetylation","2/127","17/18862",0.00572555514244871,0.198913682966106,0.184859575288861,"BRD8/MORF4L2",2
"GO:0071763","BP","GO:0071763","nuclear membrane organization","2/127","17/18862",0.00572555514244871,0.198913682966106,0.184859575288861,"EMD/ANKLE2",2
"GO:0000910","BP","GO:0000910","cytokinesis","5/127","171/18862",0.00604005629152992,0.201242895537243,0.187024218968659,"SPIRE2/PDCD6IP/PRPF40A/ROCK1/CSPP1",5
"GO:0140056","BP","GO:0140056","organelle localization by membrane tethering","5/127","172/18862",0.00618806400560733,0.201242895537243,0.187024218968659,"VPS45/SCFD1/CEP83/CEP290/CDK1",5
"GO:0006900","BP","GO:0006900","vesicle budding from membrane","4/127","109/18862",0.00632925054020374,0.201242895537243,0.187024218968659,"TFG/SCFD1/FNBP1L/PPP6R3",4
"GO:0030011","BP","GO:0030011","maintenance of cell polarity","2/127","18/18862",0.00641301038714138,0.201242895537243,0.187024218968659,"PDCD6IP/DST",2
"GO:0031468","BP","GO:0031468","nuclear envelope reassembly","2/127","18/18862",0.00641301038714138,0.201242895537243,0.187024218968659,"EMD/ANKLE2",2
"GO:1904872","BP","GO:1904872","regulation of telomerase RNA localization to Cajal body","2/127","18/18862",0.00641301038714138,0.201242895537243,0.187024218968659,"CCT5/TCP1",2
"GO:0032200","BP","GO:0032200","telomere organization","5/127","174/18862",0.006491706307653,0.201242895537243,0.187024218968659,"CCT5/ATM/ATRX/HDAC8/TCP1",5
"GO:0034501","BP","GO:0034501","protein localization to kinetochore","2/127","19/18862",0.00713607575685568,0.20541703785806,0.190903440172124,"TRAPPC12/CDK1",2
"GO:0090670","BP","GO:0090670","RNA localization to Cajal body","2/127","19/18862",0.00713607575685568,0.20541703785806,0.190903440172124,"CCT5/TCP1",2
"GO:0090671","BP","GO:0090671","telomerase RNA localization to Cajal body","2/127","19/18862",0.00713607575685568,0.20541703785806,0.190903440172124,"CCT5/TCP1",2
"GO:0090672","BP","GO:0090672","telomerase RNA localization","2/127","19/18862",0.00713607575685568,0.20541703785806,0.190903440172124,"CCT5/TCP1",2
"GO:0090685","BP","GO:0090685","RNA localization to nucleus","2/127","19/18862",0.00713607575685568,0.20541703785806,0.190903440172124,"CCT5/TCP1",2
"GO:1903311","BP","GO:1903311","regulation of mRNA metabolic process","7/127","334/18862",0.00750241079416509,0.212920531693559,0.197876779878721,"CIRBP/PAPOLA/ROCK1/SRPK2/TIA1/XPO1/TAF15",7
"GO:0032890","BP","GO:0032890","regulation of organic acid transport","3/127","60/18862",0.00771455024057274,0.212942722393891,0.197897402710583,"SLC38A3/ERFE/AKT2",3
"GO:1904356","BP","GO:1904356","regulation of telomere maintenance via telomere lengthening","3/127","60/18862",0.00771455024057274,0.212942722393891,0.197897402710583,"CCT5/ATM/TCP1",3
"GO:0035036","BP","GO:0035036","sperm-egg recognition","3/127","61/18862",0.00807425243082556,0.216928248641513,0.201601334378087,"CCT5/TCP1/UBAP2L",3
"GO:0045995","BP","GO:0045995","regulation of embryonic development","3/127","61/18862",0.00807425243082556,0.216928248641513,0.201601334378087,"WNT3A/TRIP12/CDK1",3
"GO:2000047","BP","GO:2000047","regulation of cell-cell adhesion mediated by cadherin","2/127","21/18862",0.00868703013103367,0.229434294084354,0.213223773893726,"WNT3A/AFDN",2
"GO:0044783","BP","GO:0044783","G1 DNA damage checkpoint","3/127","63/18862",0.00882293458772956,0.229434294084354,0.213223773893726,"ATM/WAC/CDK1",3
"GO:0045017","BP","GO:0045017","glycerolipid biosynthetic process","6/127","266/18862",0.00930532590558103,0.229434294084354,0.213223773893726,"AGPAT1/ABHD4/ATM/ETNK1/PLEKHA1/MTMR1",6
"GO:0031032","BP","GO:0031032","actomyosin structure organization","5/127","191/18862",0.00950679936752365,0.229434294084354,0.213223773893726,"LPAR1/TRPM7/PDCD6IP/NEBL/ROCK1",5
"GO:0007063","BP","GO:0007063","regulation of sister chromatid cohesion","2/127","22/18862",0.00951392838395,0.229434294084354,0.213223773893726,"ATRX/HDAC8",2
"GO:0045844","BP","GO:0045844","positive regulation of striated muscle tissue development","2/127","22/18862",0.00951392838395,0.229434294084354,0.213223773893726,"WNT3A/MRTFB",2
"GO:0048636","BP","GO:0048636","positive regulation of muscle organ development","2/127","22/18862",0.00951392838395,0.229434294084354,0.213223773893726,"WNT3A/MRTFB",2
"GO:0048278","BP","GO:0048278","vesicle docking","3/127","65/18862",0.00961101654179773,0.229434294084354,0.213223773893726,"VPS45/SCFD1/CEP83",3
"GO:2000573","BP","GO:2000573","positive regulation of DNA biosynthetic process","3/127","65/18862",0.00961101654179773,0.229434294084354,0.213223773893726,"CCT5/ATM/TCP1",3
"GO:0008654","BP","GO:0008654","phospholipid biosynthetic process","6/127","269/18862",0.00979973656879787,0.229434294084354,0.213223773893726,"AGPAT1/ABHD4/ATM/ETNK1/PLEKHA1/MTMR1",6
"GO:0048207","BP","GO:0048207","vesicle targeting, rough ER to cis-Golgi","3/127","66/18862",0.0100199592453713,0.229434294084354,0.213223773893726,"TFG/SCFD1/PPP6R3",3
"GO:0048208","BP","GO:0048208","COPII vesicle coating","3/127","66/18862",0.0100199592453713,0.229434294084354,0.213223773893726,"TFG/SCFD1/PPP6R3",3
"GO:0050909","BP","GO:0050909","sensory perception of taste","3/127","66/18862",0.0100199592453713,0.229434294084354,0.213223773893726,"TAS2R3/TAS2R4/TAS2R5",3
"GO:0034063","BP","GO:0034063","stress granule assembly","2/127","23/18862",0.0103744551701021,0.229720078766548,0.213489366658319,"CIRBP/UBAP2L",2
"GO:1901863","BP","GO:1901863","positive regulation of muscle tissue development","2/127","23/18862",0.0103744551701021,0.229720078766548,0.213489366658319,"WNT3A/MRTFB",2
"GO:1904385","BP","GO:1904385","cellular response to angiotensin","2/127","23/18862",0.0103744551701021,0.229720078766548,0.213489366658319,"ARID1B/ROCK1",2
"GO:0007004","BP","GO:0007004","telomere maintenance via telomerase","3/127","68/18862",0.0108678807045059,0.235470748597627,0.218833726919252,"CCT5/ATM/TCP1",3
"GO:0043967","BP","GO:0043967","histone H4 acetylation","3/127","68/18862",0.0108678807045059,0.235470748597627,0.218833726919252,"BRD8/USP22/MORF4L2",3
"GO:0007095","BP","GO:0007095","mitotic G2 DNA damage checkpoint","2/127","24/18862",0.0112681275334036,0.241545499785194,0.224479270794233,"ATM/CDK1",2
"GO:0035264","BP","GO:0035264","multicellular organism growth","4/127","130/18862",0.0116064673628477,0.246179281433033,0.228785655828322,"EN1/ATM/ATRX/PLEKHA1",4
"GO:0006901","BP","GO:0006901","vesicle coating","3/127","70/18862",0.0117561331472536,0.246756336372043,0.229321939352678,"TFG/SCFD1/PPP6R3",3
"GO:0071459","BP","GO:0071459","protein localization to chromosome, centromeric region","2/127","25/18862",0.0121944674070794,0.248200523487526,0.230664088433751,"TRAPPC12/CDK1",2
"GO:1990776","BP","GO:1990776","response to angiotensin","2/127","25/18862",0.0121944674070794,0.248200523487526,0.230664088433751,"ARID1B/ROCK1",2
"GO:2000679","BP","GO:2000679","positive regulation of transcription regulatory region DNA binding","2/127","25/18862",0.0121944674070794,0.248200523487526,0.230664088433751,"WNT3A/PAX6",2
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","5/127","205/18862",0.0126231995397907,0.254357470726782,0.236386020855659,"CDKN2B-AS1/SUZ12/ARID1B/XIST/MORF4L2",5
"GO:0007266","BP","GO:0007266","Rho protein signal transduction","4/127","134/18862",0.0128555762042932,0.255067922060483,0.237046275745383,"LPAR1/ARHGEF12/ROCK1/ARHGAP29",4
"GO:0002064","BP","GO:0002064","epithelial cell development","5/127","207/18862",0.0131186036174788,0.255067922060483,0.237046275745383,"ASXL1/AFDN/PAX6/ATRX/ROCK1",5
"GO:0032786","BP","GO:0032786","positive regulation of DNA-templated transcription, elongation","2/127","26/18862",0.0131530015705732,0.255067922060483,0.237046275745383,"TCERG1/CCNT2",2
"GO:0090114","BP","GO:0090114","COPII-coated vesicle budding","3/127","73/18862",0.0131647959773152,0.255067922060483,0.237046275745383,"TFG/SCFD1/PPP6R3",3
"GO:0048199","BP","GO:0048199","vesicle targeting, to, from or within Golgi","3/127","74/18862",0.0136548268148987,0.262042628876389,0.243528189510825,"TFG/SCFD1/PPP6R3",3
"GO:0007143","BP","GO:0007143","female meiotic nuclear division","2/127","27/18862",0.0141432616068047,0.264762083961203,0.246055503391396,"SPIRE2/ATM",2
"GO:0006278","BP","GO:0006278","RNA-dependent DNA biosynthetic process","3/127","75/18862",0.0141551455991232,0.264762083961203,0.246055503391396,"CCT5/ATM/TCP1",3
"GO:0030902","BP","GO:0030902","hindbrain development","4/127","139/18862",0.0145336582295858,0.264762083961203,0.246055503391396,"LPAR1/EN1/CKB/CEP290",4
"GO:0050684","BP","GO:0050684","regulation of mRNA processing","4/127","139/18862",0.0145336582295858,0.264762083961203,0.246055503391396,"CIRBP/PAPOLA/SRPK2/TIA1",4
"GO:0009791","BP","GO:0009791","post-embryonic development","3/127","76/18862",0.0146657790160288,0.264762083961203,0.246055503391396,"ATM/ATRX/PLEKHA1",3
"GO:1903829","BP","GO:1903829","positive regulation of cellular protein localization","6/127","295/18862",0.0148962197878281,0.264762083961203,0.246055503391396,"WNT3A/AKT2/CCT5/TRAPPC12/TCP1/CDK1",6
"GO:0140014","BP","GO:0140014","mitotic nuclear division","6/127","296/18862",0.0151230078883993,0.264762083961203,0.246055503391396,"EMD/PRKCB/ANKLE2/ATM/ATRX/CDK1",6
"GO:0044331","BP","GO:0044331","cell-cell adhesion mediated by cadherin","2/127","28/18862",0.015164783859777,0.264762083961203,0.246055503391396,"WNT3A/AFDN",2
"GO:0009953","BP","GO:0009953","dorsal/ventral pattern formation","3/127","77/18862",0.0151867517234203,0.264762083961203,0.246055503391396,"EN1/WNT3A/INTU",3
"GO:0010827","BP","GO:0010827","regulation of glucose transmembrane transport","3/127","77/18862",0.0151867517234203,0.264762083961203,0.246055503391396,"PRKCB/ERFE/AKT2",3
"GO:0031056","BP","GO:0031056","regulation of histone modification","4/127","141/18862",0.0152418867193546,0.264762083961203,0.246055503391396,"ATM/ATRX/NSD3/TRIP12",4
"GO:0006517","BP","GO:0006517","protein deglycosylation","2/127","29/18862",0.0162171093925292,0.275323566850236,0.255870772065597,"MARCHF6/OGA",2
"GO:0010592","BP","GO:0010592","positive regulation of lamellipodium assembly","2/127","29/18862",0.0162171093925292,0.275323566850236,0.255870772065597,"FSCN1/ARPC2",2
"GO:0070830","BP","GO:0070830","bicellular tight junction assembly","3/127","79/18862",0.0162598036998402,0.275323566850236,0.255870772065597,"PDCD6IP/AFDN/ROCK1",3
"GO:0021915","BP","GO:0021915","neural tube development","4/127","145/18862",0.0167228662443374,0.277672325580766,0.258053580884515,"EN1/WNT3A/DEAF1/INTU",4
"GO:0009988","BP","GO:0009988","cell-cell recognition","3/127","80/18862",0.0168119224421109,0.277672325580766,0.258053580884515,"CCT5/TCP1/UBAP2L",3
"GO:0010833","BP","GO:0010833","telomere maintenance via telomere lengthening","3/127","80/18862",0.0168119224421109,0.277672325580766,0.258053580884515,"CCT5/ATM/TCP1",3
"GO:0051491","BP","GO:0051491","positive regulation of filopodium assembly","2/127","30/18862",0.0172997839454323,0.281019218690254,0.261164001593293,"FSCN1/FNBP1L",2
"GO:0120192","BP","GO:0120192","tight junction assembly","3/127","81/18862",0.017374459486214,0.281019218690254,0.261164001593293,"PDCD6IP/AFDN/ROCK1",3
"GO:0007043","BP","GO:0007043","cell-cell junction assembly","4/127","147/18862",0.0174959918799332,0.281019218690254,0.261164001593293,"FSCN1/PDCD6IP/AFDN/ROCK1",4
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","7/127","395/18862",0.0175724176451474,0.281019218690254,0.261164001593293,"USP22/ATM/ATRX/SRPK2/CSPP1/CCNT2/CDK1",7
"GO:0008643","BP","GO:0008643","carbohydrate transport","4/127","149/18862",0.0182911112035792,0.290209362796946,0.269704822471342,"MFSD12/PRKCB/ERFE/AKT2",4
"GO:0120193","BP","GO:0120193","tight junction organization","3/127","84/18862",0.0191247213928354,0.301064950051276,0.279793415771827,"PDCD6IP/AFDN/ROCK1",3
"GO:0046337","BP","GO:0046337","phosphatidylethanolamine metabolic process","2/127","32/18862",0.0195543862119957,0.305442544319158,0.283861714166792,"ABHD4/ETNK1",2
"GO:1900182","BP","GO:1900182","positive regulation of protein localization to nucleus","3/127","85/18862",0.0197290635634602,0.305800485233633,0.28419436501535,"CCT5/TCP1/CDK1",3
"GO:0030901","BP","GO:0030901","midbrain development","3/127","86/18862",0.0203438810588686,0.306403466028056,0.284754742621869,"EN1/WNT3A/CKB",3
"GO:0060021","BP","GO:0060021","roof of mouth development","3/127","86/18862",0.0203438810588686,0.306403466028056,0.284754742621869,"WNT3A/INTU/PLEKHA1",3
"GO:2000779","BP","GO:2000779","regulation of double-strand break repair","3/127","86/18862",0.0203438810588686,0.306403466028056,0.284754742621869,"SPIRE2/RADX/TRIP12",3
"GO:0051017","BP","GO:0051017","actin filament bundle assembly","4/127","154/18862",0.0203762106440494,0.306403466028056,0.284754742621869,"LPAR1/FSCN1/SPIRE2/ROCK1",4
"GO:0043297","BP","GO:0043297","apical junction assembly","3/127","87/18862",0.020969180028104,0.312984427826886,0.290870731150075,"PDCD6IP/AFDN/ROCK1",3
"GO:0021532","BP","GO:0021532","neural tube patterning","2/127","34/18862",0.0219250485657085,0.322474254451844,0.299690060686865,"EN1/WNT3A",2
"GO:2000780","BP","GO:2000780","negative regulation of double-strand break repair","2/127","34/18862",0.0219250485657085,0.322474254451844,0.299690060686865,"RADX/TRIP12",2
"GO:0061572","BP","GO:0061572","actin filament bundle organization","4/127","158/18862",0.0221456209855831,0.323358161492392,0.300511515891323,"LPAR1/FSCN1/SPIRE2/ROCK1",4
"GO:0007338","BP","GO:0007338","single fertilization","4/127","160/18862",0.0230644842718728,0.32854170800923,0.30532882254064,"CCT5/TCP1/CDK1/UBAP2L",4
"GO:0006369","BP","GO:0006369","termination of RNA polymerase II transcription","2/127","35/18862",0.0231528151549929,0.32854170800923,0.30532882254064,"WDR33/PAPOLA",2
"GO:0098926","BP","GO:0098926","postsynaptic signal transduction","2/127","35/18862",0.0231528151549929,0.32854170800923,0.30532882254064,"WNT3A/KPNA1",2
"GO:1903960","BP","GO:1903960","negative regulation of anion transmembrane transport","2/127","35/18862",0.0231528151549929,0.32854170800923,0.30532882254064,"PRKCB/AKT2",2
"GO:0014037","BP","GO:0014037","Schwann cell differentiation","2/127","36/18862",0.0244083011378085,0.334576372739348,0.310937112238892,"AKT2/CDK1",2
"GO:0031572","BP","GO:0031572","G2 DNA damage checkpoint","2/127","36/18862",0.0244083011378085,0.334576372739348,0.310937112238892,"ATM/CDK1",2
"GO:0032892","BP","GO:0032892","positive regulation of organic acid transport","2/127","36/18862",0.0244083011378085,0.334576372739348,0.310937112238892,"SLC38A3/ERFE",2
"GO:0035136","BP","GO:0035136","forelimb morphogenesis","2/127","36/18862",0.0244083011378085,0.334576372739348,0.310937112238892,"EN1/ATRX",2
"GO:0045738","BP","GO:0045738","negative regulation of DNA repair","2/127","36/18862",0.0244083011378085,0.334576372739348,0.310937112238892,"RADX/TRIP12",2
"GO:0021549","BP","GO:0021549","cerebellum development","3/127","94/18862",0.0256399246908399,0.342831350799378,0.318608840575731,"LPAR1/EN1/CKB",3
"GO:0044818","BP","GO:0044818","mitotic G2/M transition checkpoint","2/127","37/18862",0.0256910838564298,0.342831350799378,0.318608840575731,"ATM/CDK1",2
"GO:0071542","BP","GO:0071542","dopaminergic neuron differentiation","2/127","37/18862",0.0256910838564298,0.342831350799378,0.318608840575731,"EN1/WNT3A",2
"GO:1902745","BP","GO:1902745","positive regulation of lamellipodium organization","2/127","37/18862",0.0256910838564298,0.342831350799378,0.318608840575731,"FSCN1/ARPC2",2
"GO:0006903","BP","GO:0006903","vesicle targeting","3/127","95/18862",0.0263491010374977,0.347015938500379,0.322497769148321,"TFG/SCFD1/PPP6R3",3
"GO:0097711","BP","GO:0097711","ciliary basal body-plasma membrane docking","3/127","95/18862",0.0263491010374977,0.347015938500379,0.322497769148321,"CEP83/CEP290/CDK1",3
"GO:0030866","BP","GO:0030866","cortical actin cytoskeleton organization","2/127","38/18862",0.027000745008878,0.348759623031341,0.324118254863657,"PDCD6IP/ROCK1",2
"GO:0032506","BP","GO:0032506","cytokinetic process","2/127","38/18862",0.027000745008878,0.348759623031341,0.324118254863657,"SPIRE2/PDCD6IP",2
"GO:0046326","BP","GO:0046326","positive regulation of glucose import","2/127","38/18862",0.027000745008878,0.348759623031341,0.324118254863657,"ERFE/AKT2",2
"GO:0016050","BP","GO:0016050","vesicle organization","6/127","339/18862",0.0272850607529963,0.350187244696099,0.325445008914384,"PDCD6IP/TFG/AKT2/SCFD1/FNBP1L/PPP6R3",6
