BestHit	Genus	No.Drug
T07569	Sideroxydans	1
T07569	Roseovarius	1
T07569	Sphingobium	1
T07569	Phaeobacter	1
T07569	Hirschia	1
T07569	Sagittula	1
T07569	Citromicrobium	1
T07569	Hoeflea	1
T07569	Agrobacterium	1
T07569	Phenylobacterium	1
T08922	Rhizobium	1
T08922	Saccharopolyspora	1
T08922	Candidatus Endoriftia	1
T09005	Corynebacterium	2
T09538	Proteus	2
T09538	Shewanella	2
T13201	Beggiatoa	5
T13259	Bacillus	2
T13259	Pseudomonas	2
T13259	Rhizobium	2
T13259	NA	2
T13259	Alicycliphilus	2
T13259	Achromobacter	2
T13259	Campylobacter	2
T13259	Pelagibaca	2
T13259	Acinetobacter	2
T13259	Ralstonia	2
T13259	Edwardsiella	2
T13259	Salmonella	2
T13259	Xenorhabdus	2
T13259	Rickettsia	2
T13259	Chromohalobacter	2
T13259	Escherichia	2
T13259	Geobacter	2
T13259	Azospirillum	2
T13259	Klebsiella	2
T13259	Sphingomonas	2
T13259	Pseudogulbenkiania	2
T13259	Shewanella	2
T13259	Starkeya	2
T13259	Burkholderia	2
T13259	Bordetella	2
T13259	Polaromonas	2
T13259	Paraburkholderia	2
T13259	Nocardia	2
T13259	Trypanosoma	2
T13259	Delftia	2
T13259	Ruegeria	2
T13259	Roseovarius	2
T13259	Francisella	2
T13259	Roseobacter	2
T13259	Listeria	2
T13259	Erwinia	2
T13259	Magnetospirillum	2
T13259	Vibrio	2
T13259	Psychroflexus	2
T13259	Sphingobacterium	2
T13259	Chelativorans	2
T13259	Maritimibacter	2
T13259	Exiguobacterium	2
T13259	Polynucleobacter	2
T13259	Cronobacter	2
T13259	Sinorhizobium	2
T13259	Acidovorax	2
T13259	Mycobacterium	2
T13259	Brevundimonas	2
T13259	Hirschia	2
T13259	Thermus	2
T13259	Oxalobacter	2
T13259	Neisseria	2
T13259	Methylobacterium	2
T13259	Saccharomonospora	2
T13259	Neptuniibacter	2
T13259	Sphingobium	2
T13259	Yersinia	2
T13259	Hyphomonas	2
T13259	Asticcacaulis	2
T13259	Psychrobacter	2
T13259	Candidatus Puniceispirillum	2
T13259	Propionibacterium	2
T13259	Candidatus Endoriftia	2
T13259	Dickeya	2
T13259	Novosphingobium	2
T13259	Pseudovibrio	2
T13259	Leifsonia	2
T13259	Corynebacterium	2
T13259	Photobacterium	2
T13259	Brevibacillus	2
T13259	Octadecabacter	2
T13259	Nocardioides	2
T13259	Providencia	2
T13259	Aeromonas	2
T13259	Methylibium	2
T13259	Thiomonas	2
T13259	Luminiphilus	2
T13259	Thalassobium	2
T13259	Xanthobacter	2
T13259	Staphylococcus	2
T13259	Brucella	2
T13259	Chloroflexus	2
T13259	Sulfitobacter	2
T13259	Shigella	2
T13259	Mesorhizobium	2
T13259	Hyphomicrobium	2
T13259	Pectobacterium	2
T13259	Rickettsiella	2
T13259	Serratia	2
T13259	Streptomyces	2
T13259	Citrobacter	2
T13259	Loktanella	2
T13259	Desulfovibrio	2
T13259	Azotobacter	2
T13259	Meiothermus	2
T13259	Psychromonas	2
T13259	Aurantimonas	2
T13259	Rhodococcus	2
T13259	Paenarthrobacter	2
T13259	Cupriavidus	2
T13259	Gemmatimonas	2
T13259	Caulobacter	2
T13259	Oceanicola	2
T13259	Proteus	2
T13259	Congregibacter	2
T13259	Cellvibrio	2
T13259	Sodalis	2
T13259	Pasteurella	2
T13259	Phenylobacterium	2
T13259	Enterobacter	2
T13259	Oceanibulbus	2
T13259	Beutenbergia	2
T13259	Labrenzia	2
T13259	Herbaspirillum	2
T13259	Rhodopseudomonas	2
T13259	Amycolatopsis	2
T13259	Rhodomicrobium	2
T13259	Rhodobacter	2
T13259	Bermanella	2
T13259	Brevibacterium	2
T13259	Mobiluncus	2
T13259	Pseudooceanicola	2
T13259	Kyrpidia	2
T13259	Marinobacter	2
T13259	Pseudoalteromonas	2
T13259	Pantoea	2
T13259	Geobacillus	2
T13259	Kangiella	2
T13259	Laribacter	2
T13259	Agrobacterium	2
T13259	Azoarcus	2
T13259	Aromatoleum	2
T13259	Rubrobacter	2
T13259	Xylanimonas	2
T13259	Sagittula	2
T13259	Eikenella	2
T13259	Desulfomicrobium	2
T13259	Pelobacter	2
T13259	Grimontia	2
T13259	Tsukamurella	2
T13259	Maricaulis	2
T13259	Beggiatoa	2
T13259	Macrococcus	2
T13259	Symbiobacterium	2
T13259	Methylosinus	2
T13259	Photorhabdus	2
T13259	Idiomarina	2
T13259	Herminiimonas	2
T13259	Rhodoferax	2
T13259	Leptospira	2
T13259	Helicobacter	2
T13259	Arthrobacter	2
T13259	Acidimicrobium	2
T13259	Kineococcus	2
T13259	Hoeflea	2
T13259	Azorhizobium	2
T13259	Cellulomonas	2
T13259	Tolumonas	2
T13259	Simonsiella	2
T13259	Oceanobacillus	2
T13259	Deinococcus	2
T13259	Enhydrobacter	2
T13259	Nocardiopsis	2
T13259	Enterococcus	2
T13259	Rhodospirillum	2
T13259	Kribbella	2
T13259	Kocuria	2
T13259	Thauera	2
T13259	Ochrobactrum	2
T13259	Limnobacter	2
T13259	Histophilus	2
T13259	Bradyrhizobium	2
T13259	Beijerinckia	2
T13259	Geodermatophilus	2
T13259	Saccharopolyspora	2
T13259	Comamonas	2
T13259	Chromobacterium	2
T13259	Jannaschia	2
T13259	Methylococcus	2
T13259	Dechloromonas	2
T13259	Streptosporangium	2
T13259	Halothiobacillus	2
T13259	Saccharophagus	2
T13259	Paenibacillus	2
T13259	Stackebrandtia	2
T13259	Gluconacetobacter	2
T13259	Parvibaculum	2
T13259	Aeromicrobium	2
T13259	Sanguibacter	2
T13259	Colwellia	2
T13259	Candidatus Accumulibacter	2
T13259	Alkaliphilus	2
T13259	Janibacter	2
T13259	Conexibacter	2
T13259	Rothia	2
T13259	Alcanivorax	2
T13259	Moraxella	2
T13259	Oceanicaulis	2
T13259	Verminephrobacter	2
T13259	Pseudarthrobacter	2
T13259	Reinekea	2
T13259	Mannheimia	2
T13259	Dinoroseobacter	2
T13259	Methylotenera	2
T13259	Nakamurella	2
T13259	Acidiphilium	2
T13259	Brachybacterium	2
T13259	Phaeobacter	2
T13259	Citreicella	2
T13259	Janthinobacterium	2
T13259	Roseomonas	2
T13259	Clavibacter	2
T13259	Thermobifida	2
T13259	Leptothrix	2
T15569	NA	1
T15569	Delftia	1
T15569	Caulobacter	1
T15569	Acidobacterium	1
T15569	Chloroflexus	1
T15569	Shigella	1
T15569	Streptomyces	1
T15569	Escherichia	1
T15569	Anaerobaculum	1
T15569	Corynebacterium	1
T15569	Symbiobacterium	1
T15569	Deinococcus	1
T15569	Mycobacterium	1
T15569	Bacteroides	1
T15569	Propionibacterium	1
T15569	Mesorhizobium	1
T15569	Thermobaculum	1
T15569	Rhodospirillum	1
T15569	Frankia	1
T15569	Sphaerobacter	1
T15569	Magnetospirillum	1
T15569	Chlorobium	1
T15569	Rhodobacter	1
T15569	Candidatus Azobacteroides	1
T15569	Geobacter	1
T15569	Roseiflexus	1
T15569	Pelodictyon	1
T15569	Comamonas	1
T15569	Chlorobaculum	1
T15569	Verminephrobacter	1
T15569	Roseobacter	1
T15569	Thermoanaerobacter	1
T15569	Thermomicrobium	1
T15569	Thermobifida	1
T15569	Yersinia	1
T15569	Meiothermus	1
T15569	Coprothermobacter	1
T15569	Geobacillus	1
T15569	Azospirillum	1
T15569	Veillonella	1
T15569	Ktedonobacter	1
T15569	Anaeromyxobacter	1
T15569	Thermus	1
T15569	Truepera	1
T15569	Gordonia	1
T15569	Methylobacterium	1
T15569	Thermomonospora	1
T15569	Burkholderia	1
T15569	Candidatus Cloacimonas	1
T15569	Polaribacter	1
T15569	Desulfotomaculum	1
T15569	Bradyrhizobium	1
T15569	Desulfurispirillum	1
T15569	Caldanaerobacter	1
T15569	Kyrpidia	1
T15569	Rhizobium	1
T15569	Acidovorax	1
T15569	Candidatus Koribacter	1
T15569	Spirosoma	1
T15569	Dethiobacter	1
T15569	Deferribacter	1
T15569	Salinibacter	1
T15569	Rhodopseudomonas	1
T15569	Congregibacter	1
T15569	Flavobacterium	1
T15569	Porphyromonas	1
T15569	Psychroflexus	1
T15569	Selenomonas	1
T15569	Brucella	1
T15569	Methylocella	1
T15569	Loktanella	1
T15569	Dyadobacter	1
T15569	Algoriphagus	1
T15569	Thermosediminibacter	1
T15569	Gemmatimonas	1
T15569	Ochrobactrum	1
T15569	Alkaliphilus	1
T15569	Ruegeria	1
T15569	Xanthobacter	1
T15569	Nitrospira	1
T15569	Cupriavidus	1
T15569	Alicycliphilus	1
T15569	Nocardia	1
T15569	Polaromonas	1
T15569	Roseovarius	1
T15569	Magnetococcus	1
T15569	Acidimicrobium	1
T15569	Pelobacter	1
T15569	Beijerinckia	1
T15569	Rhodococcus	1
T15569	Erythrobacter	1
T15569	Sorangium	1
T15569	Octadecabacter	1
T15569	Sphingobium	1
T15569	Oceanicaulis	1
T15569	Maricaulis	1
T15569	Parabacteroides	1
T15569	Micromonospora	1
T15569	Dialister	1
T15569	Croceibacter	1
T15569	Conexibacter	1
T15569	Akkermansia	1
T15569	Methylosinus	1
T15569	Herpetosiphon	1
T15569	Salinispora	1
T15569	Rubrobacter	1
T15569	Azoarcus	1
T15569	Bacillus	1
T15569	Desulfarculus	1
T15569	Aromatoleum	1
T15569	Citromicrobium	1
T15569	Kribbella	1
T15569	Fulvimarina	1
T15569	Jannaschia	1
T15569	Streptosporangium	1
T15569	Gramella	1
T15569	Saccharomonospora	1
T15569	Azorhizobium	1
T15569	Oceanibulbus	1
T15569	Citrobacter	1
T15569	Kytococcus	1
T15569	Thalassobium	1
T15569	Dechloromonas	1
T15569	Heliobacterium	1
T15569	Nitrobacter	1
T15569	Phaeobacter	1
T15569	Janibacter	1
T15569	Petrotoga	1
T15569	Pseudovibrio	1
T15569	Nocardioides	1
T15569	Natranaerobius	1
T15569	Pelotomaculum	1
T15569	Dokdonia	1
T15569	Lysinibacillus	1
T15569	Thermobispora	1
T15569	Aminobacterium	1
T15569	Thermosipho	1
T15569	Diplosphaera	1
T15569	Sulfitobacter	1
T15569	Alistipes	1
T15569	Geodermatophilus	1
T15569	Chryseobacterium	1
T15569	Dethiosulfovibrio	1
T15569	Pedobacter	1
T15569	Sinorhizobium	1
T15569	Chelativorans	1
T15569	Thermanaerovibrio	1
T15569	Rhodoferax	1
T15569	Pyramidobacter	1
T15569	Candidatus Accumulibacter	1
T15569	Carboxydothermus	1
T15569	Microscilla	1
T15569	Saccharopolyspora	1
T15569	Anoxybacillus	1
T15569	Stackebrandtia	1
T15569	Rhodomicrobium	1
T15569	Maribacter	1
T15569	Leptospira	1
T15569	Labrenzia	1
T15569	Tsukamurella	1
T15569	Brevundimonas	1
T15569	Thermosinus	1
T15569	Prevotella	1
T15569	Candidatus Solibacter	1
T15569	Kordia	1
T15569	Agrobacterium	1
T15569	Nocardiopsis	1
T15569	Prosthecochloris	1
T15569	Thauera	1
T15569	Myxococcus	1
T15569	Phenylobacterium	1
T15569	Denitrovibrio	1
T15569	Starkeya	1
T15569	Aurantimonas	1
T15569	Methylibium	1
T15569	Catenulispora	1
T15569	Desulfococcus	1
T15569	Hirschia	1
T15569	Sphingomonas	1
T15569	Luminiphilus	1
T15569	Dinoroseobacter	1
T15569	Hyphomicrobium	1
T15569	Desulfuromonas	1
T15569	Actinosynnema	1
T15569	Citreicella	1
T15569	Desulfobacterium	1
T15569	Opitutus	1
T15569	Zunongwangia	1
T15569	Plesiocystis	1
T15569	Amycolatopsis	1
T15569	Chitinophaga	1
T15569	Leptothrix	1
T15569	Salmonella	1
T15569	Parvibaculum	1
T15569	Hoeflea	1
T15569	Kosmotoga	1
T15569	Robiginitalea	1
T15569	Sphingopyxis	1
T15569	Jonquetella	1
T15569	Pseudothermotoga	1
T15569	Chloroherpeton	1
T15569	Desulfitobacterium	1
T15569	Pelagibaca	1
T15569	Novosphingobium	1
T15569	Brevibacillus	1
T15569	Polynucleobacter	1
T15569	Oceanicola	1
T15569	Fervidobacterium	1
T15569	Hyphomonas	1
T15569	Aeromicrobium	1
T15569	Candidatus Puniceispirillum	1
T15569	Pseudooceanicola	1
T15569	Maritimibacter	1
T15569	Leeuwenhoekiella	1
T15569	Coraliomargarita	1
T15569	Sagittula	1
T15569	Stigmatella	1
T15569	Desulfatibacillum	1
T15569	Nakamurella	1
T16514	Xenorhabdus	1
T16514	Shewanella	1
T16514	Pseudomonas	1
T16514	Herpetosiphon	1
T16514	Streptomyces	1
T16514	Rhodococcus	1
T17163	Ralstonia	1
T18477	Helicobacter	1
T18477	Candidatus Endoriftia	1
T18477	Trypanosoma	1
T18477	Fusobacterium	1
T18477	Proteus	1
T18477	Pectobacterium	1
T18477	Haemophilus	1
T19433	Helicobacter	1
T19693	Beggiatoa	1
T20514	Syntrophomonas	1
T20514	Geobacillus	1
T20514	Coprococcus	1
T20514	Burkholderia	1
T20514	Pseudomonas	1
T20514	Desulfovibrio	1
T20514	Clostridium	1
T20514	Peptoclostridium	1
T20514	Psychroflexus	1
T20514	Coraliomargarita	1
T20514	Neisseria	1
T20514	Escherichia	1
T20514	Thermus	1
T20514	Alkaliphilus	1
T20514	Thermoanaerobacter	1
T20514	Methylococcus	1
T20514	Sulfurihydrogenibium	1
T20514	Ktedonobacter	1
T20514	Cyanothece	1
T20514	Lachnoclostridium	1
T20514	Veillonella	1
T20514	Chthoniobacter	1
T20514	Desulfonatronospira	1
T20514	Bacillus	1
T20514	Desulfotomaculum	1
T20514	Desulfitobacterium	1
T20514	Corynebacterium	1
T20514	Listeria	1
T20514	Anoxybacillus	1
T20514	Cryptobacterium	1
T20514	Thiomonas	1
T20514	Desulfarculus	1
T20514	Conexibacter	1
T20514	Fusobacterium	1
T20514	Mitsuokella	1
T20514	Eubacterium	1
T20514	Selenomonas	1
T20514	Thermosediminibacter	1
T20514	Thermosinus	1
T20514	Photobacterium	1
T20514	Proteus	1
T20514	Erwinia	1
T20514	Moorella	1
T20514	Pedosphaera	1
T20514	Acidovorax	1
T20514	Kamptonema	1
T20514	Vibrio	1
T20514	Cupriavidus	1
T20514	Anaeromyxobacter	1
T20514	Leptotrichia	1
T20514	Meiothermus	1
T20514	Thermobaculum	1
T20514	Candidatus Desulforudis	1
T20514	Syntrophobacter	1
T20514	Dethiobacter	1
T20514	Beggiatoa	1
T20514	Bifidobacterium	1
T20514	Pyramidobacter	1
T20514	Geobacter	1
T20514	Heliobacterium	1
T20514	Roseiflexus	1
T20514	Rubrobacter	1
T20514	Oceanobacillus	1
T20514	Turicibacter	1
T20514	NA	1
T20514	Slackia	1
T20514	Rhodomicrobium	1
T20514	Pseudoflavonifractor	1
T20514	Thermanaerovibrio	1
T20514	Pelobacter	1
T20514	Intestinibacter	1
T20514	Ammonifex	1
T20514	Thermincola	1
T20514	Candidatus Endoriftia	1
T20514	Kyrpidia	1
T20514	Gemmatimonas	1
T20514	Helicobacter	1
T20514	Pelotomaculum	1
T20514	Cellvibrio	1
T20514	Desulfurivibrio	1
T20514	Streptococcus	1
T20514	Carboxydothermus	1
T20514	Desulfomicrobium	1
T21678	Saccharopolyspora	1
T23292	Dyadobacter	1
T23292	Paenibacillus	1
T23292	Hungatella	1
T25163	Peptoclostridium	2
T25163	Lactobacillus	2
T25163	Thermocrinis	2
T25163	Lachnoclostridium	2
T25163	Caldanaerobacter	2
T25163	Fusobacterium	2
T25163	Rickettsiella	2
T25163	Beggiatoa	2
T25163	Bacteroides	2
T25163	NA	2
T25163	Ktedonobacter	2
T25163	Prevotella	2
T25163	Waddlia	2
T25464	Trypanosoma	3
T25847	Streptomyces	1
T25847	Clostridium	1
T25847	Streptobacillus	1
T25847	Bacteroides	1
T25847	Psychroflexus	1
T25847	Dehalococcoides	1
T25847	Xanthomonas	1
T25847	Kamptonema	1
T25847	NA	1
T25847	Coprococcus	1
T25847	Borrelia	1
T25847	Blautia	1
T25847	Methanosphaera	1
T25847	Fusobacterium	1
T25847	Micrococcus	1
T25847	Treponema	1
T25847	Actinomyces	1
T25847	Leeuwenhoekiella	1
T25847	Chloroflexus	1
T25847	Tyzzerella	1
T25847	Lachnoclostridium	1
T25847	Desulfurispirillum	1
T25847	Denitrovibrio	1
T25847	Bifidobacterium	1
T25847	Croceibacter	1
T25847	Gardnerella	1
T25847	Roseburia	1
T25847	Dehalogenimonas	1
T25847	Mycobacterium	1
T25847	Abiotrophia	1
T25847	Candidatus Protochlamydia	1
T25847	Zunongwangia	1
T25847	Helicobacter	1
T25847	Conexibacter	1
T25847	Lactobacillus	1
T25847	Campylobacter	1
T25847	Nocardiopsis	1
T25847	Corynebacterium	1
T25847	Plesiocystis	1
T25847	Selenomonas	1
T25847	Rhodococcus	1
T25847	Stigmatella	1
T25847	Blastopirellula	1
T25847	Streptococcus	1
T25847	Veillonella	1
T25847	Capnocytophaga	1
T25847	Candidatus Ruthia	1
T25847	Pseudarthrobacter	1
T25847	Desulfotomaculum	1
T25847	Marvinbryantia	1
T25847	Eubacterium	1
T25847	Spirochaeta	1
T25847	Coraliomargarita	1
T25847	Ruminococcus	1
T25847	Clavibacter	1
T25847	Anaerococcus	1
T25847	Mageeibacillus	1
T25847	Paenibacillus	1
T25847	Legionella	1
T25847	Cyanothece	1
T25847	Leptospira	1
T25847	Acidobacterium	1
T25847	Gramella	1
T25847	Coleofasciculus	1
T25847	Maribacter	1
T25847	Acidaminococcus	1
T25847	Holdemanella	1
T25847	Bdellovibrio	1
T25847	Kordia	1
T25847	Brevibacterium	1
T25847	Truepera	1
T25847	Lysinibacillus	1
T25847	Bacillus	1
T25847	Megasphaera	1
T25847	Ruminiclostridium	1
T25847	Paenarthrobacter	1
T25847	Leuconostoc	1
T25847	Desulfobacterium	1
T25847	Dorea	1
T25847	Fibrobacter	1
T25847	Spirosoma	1
T25847	Saccharomonospora	1
T25847	Pirellula	1
T25847	Trypanosoma	1
T25847	Candidatus Cloacimonas	1
T25847	Segniliparus	1
T25847	Granulicatella	1
T25847	Alistipes	1
T25847	Alkaliphilus	1
T25847	Robiginitalea	1
T25847	Chryseobacterium	1
T25847	Sulfurospirillum	1
T25847	Crocosphaera	1
T25847	Thermobifida	1
T25847	Beggiatoa	1
T25847	Polaribacter	1
T25847	Renibacterium	1
T25847	Candidatus Solibacter	1
T25847	Arcobacter	1
T26623	Cyanothece	2
T26623	Neisseria	2
T26623	Lactobacillus	2
T26623	Staphylococcus	2
T26623	Coxiella	2
T26623	Gramella	2
T26623	Dorea	2
T26623	Erysipelatoclostridium	2
T26623	Ruminococcus	2
T26623	Alcanivorax	2
T26623	Roseburia	2
T26623	Bacteroides	2
T26623	Salmonella	2
T26623	NA	2
T26623	Eubacterium	2
T26623	Psychroflexus	2
T26623	Leifsonia	2
T26623	Ruminiclostridium	2
T26623	Algoriphagus	2
T26623	Corynebacterium	2
T26623	Microscilla	2
T26623	Synechococcus	2
T26623	Mycoplasma	2
T26623	Proteus	2
T26623	Rhizobium	2
T26623	Escherichia	2
T26623	Neptuniibacter	2
T26623	Plesiocystis	2
T26623	Prevotella	2
T26623	Zunongwangia	2
T26623	Listeria	2
T26623	Synechocystis	2
T27602	Herpetosiphon	1
T27812	Bacillus	26
T28661	Trypanosoma	1
T28661	Beggiatoa	1
T30081	Mycoplasma	2
T30081	Trypanosoma	2
T30081	Alloprevotella	2
T30081	Bacillus	2
T30082	Ralstonia	15
T30082	Roseomonas	15
T30082	Prevotella	15
T30082	Burkholderia	15
T30082	Ethanoligenens	15
T31479	Clostridium	5
T33489	Crocosphaera	1
T33489	Candidatus Solibacter	1
T33489	Gemmata	1
T33584	Sinorhizobium	1
T33584	Escherichia	1
T34239	Streptomyces	1
T34949	Neisseria	1
T37046	Thermotoga	1
T37046	Meiothermus	1
T37046	Cronobacter	1
T37046	Bacillus	1
T37046	Catonella	1
T37046	Arthrobacter	1
T37046	Thioalkalivibrio	1
T39610	Trypanosoma	3
T39610	Pectobacterium	3
T39610	Nostoc	3
T39610	Helicobacter	3
T39610	Kamptonema	3
T40111	Bacillus	5
T40111	Geobacillus	5
T40111	Clostridium	5
T40111	Turicibacter	5
T40111	Veillonella	5
T40111	Marvinbryantia	5
T40111	Anaerofustis	5
T40111	Streptococcus	5
T40111	Rhodococcus	5
T40111	Caldicellulosiruptor	5
T40111	Enterococcus	5
T40111	Roseburia	5
T40111	NA	5
T40111	Leptospira	5
T40111	Lactobacillus	5
T40111	Desulfonatronospira	5
T40111	Synechococcus	5
T40111	Anaerotruncus	5
T40111	Thermoanaerobacter	5
T40111	Kyrpidia	5
T40111	Blautia	5
T40111	Lachnoclostridium	5
T40111	Oribacterium	5
T40111	Trypanosoma	5
T40111	Ruminococcus	5
T40111	Catenulispora	5
T40111	Coprococcus	5
T40111	Candidatus Desulforudis	5
T40111	Eubacterium	5
T40111	Alkaliphilus	5
T40111	Thermosediminibacter	5
T40111	Waddlia	5
T40111	Salmonella	5
T40111	Anaerostipes	5
T40111	Prochlorococcus	5
T40111	Acetohalobium	5
T40954	Escherichia	2
T40954	Hungatella	2
T40954	Shigella	2
T40954	Carboxydothermus	2
T40954	Rhizobium	2
T40954	Frankia	2
T40954	Meiothermus	2
T40954	Pseudomonas	2
T40954	Sinorhizobium	2
T40954	Vibrio	2
T40954	Edwardsiella	2
T40954	Brucella	2
T40954	Psychroflexus	2
T40954	Bordetella	2
T40954	Moorella	2
T40954	Citreicella	2
T40954	Ktedonobacter	2
T40954	NA	2
T40954	Burkholderia	2
T40954	Ruegeria	2
T40954	Anaerotruncus	2
T40954	Photobacterium	2
T40954	Sagittula	2
T41201	Planctopirus	1
T42822	Gemmatimonas	2
T42822	Truepera	2
T47081	Xanthomonas	1
T47081	Pseudoalteromonas	1
T47081	Polaribacter	1
T47081	Sulfurimonas	1
T47081	Rhodopirellula	1
T47081	Leptotrichia	1
T47081	Streptomyces	1
T47081	Ktedonobacter	1
T47081	Stenotrophomonas	1
T47081	Pirellula	1
T47081	Veillonella	1
T47081	Herpetosiphon	1
T47081	Lentisphaera	1
T47081	Candidatus Desulforudis	1
T47081	Prochlorococcus	1
T47081	Trichodesmium	1
T47081	NA	1
T47081	Bacillus	1
T47081	Xylella	1
T47081	Blastopirellula	1
T47081	Sebaldella	1
T47081	Gemmata	1
T47081	Allochromatium	1
T47081	Roseiflexus	1
T47081	Acaryochloris	1
T47081	Dehalococcoides	1
T47081	Synechococcus	1
T47081	Salinibacter	1
T47081	Lactobacillus	1
T47081	Chthoniobacter	1
T47081	Akkermansia	1
T47081	Deinococcus	1
T47081	Ruminococcus	1
T47081	Oribacterium	1
T47081	Nitrococcus	1
T47081	Trypanosoma	1
T47081	Erysipelatoclostridium	1
T47081	Atopobium	1
T47081	Coprobacillus	1
T47081	Fusobacterium	1
T47081	Listeria	1
T47081	Brevibacillus	1
T47081	Paenibacillus	1
T47081	Exiguobacterium	1
T47081	Subdoligranulum	1
T49493	Xylella	2
T49526	Neptuniibacter	1
T52450	Lactobacillus	1
T52450	Pectobacterium	1
T53585	Trypanosoma	12
T53585	Vibrio	12
T55689	Cupriavidus	1
T55689	Sinorhizobium	1
T55689	Acidobacterium	1
T55689	Nocardia	1
T55689	Mycobacterium	1
T55689	Streptomyces	1
T55689	Burkholderia	1
T55689	Rhodococcus	1
T55689	Novosphingobium	1
T55922	Shewanella	1
T59720	Parachlamydia	1
T59845	Trypanosoma	1
T59929	Listeria	1
T59929	Thermomonospora	1
T59929	Mycoplasma	1
T59929	Anaeromyxobacter	1
T59929	Rhodospirillum	1
T59929	Coraliomargarita	1
T59929	Yersinia	1
T59929	Nocardiopsis	1
T59929	Bacillus	1
T59929	Salmonella	1
T59929	Deinococcus	1
T59929	Dinoroseobacter	1
T59929	Anaerococcus	1
T59929	Paenibacillus	1
T59929	Burkholderia	1
T59929	Mesoplasma	1
T59929	Geobacillus	1
T59929	Renibacterium	1
T59929	Rhodopirellula	1
T59929	Rhizobium	1
T59929	Rhodococcus	1
T59929	Rhodothermus	1
T59929	Erysipelatoclostridium	1
T59929	Vibrio	1
T59929	Methylobacterium	1
T59929	Desulfovibrio	1
T59929	Stigmatella	1
T59929	Aeromicrobium	1
T59929	Myxococcus	1
T59929	Sorangium	1
T60366	Trypanosoma	1
T60857	Bifidobacterium	1
T61400	Xanthomonas	1
T61400	Erythrobacter	1
T61400	NA	1
T61400	Labrenzia	1
T61400	Loktanella	1
T61400	Brevundimonas	1
T61400	Roseobacter	1
T61400	Oligotropha	1
T61400	Hahella	1
T61400	Brucella	1
T61400	Alcanivorax	1
T61400	Agrobacterium	1
T61400	Citreicella	1
T61400	Rhodopseudomonas	1
