k_id	gene_id	Path
K00140	OCG03677	ko00640
K00140	OCG03677	ko00410
K00140	OCG03677	ko00280
K00140	OCG03677	ko01200
K00140	OCG03677	ko00562
K00140	OCG03737	ko01100
K00140	OCG03737	ko00640
K00140	OCG03737	ko00410
K00140	OCG03737	ko00280
K00140	OCG03737	ko01200
K00140	OCG03737	ko00562
K00143	OCG00854	ko01230
K00143	OCG00854	ko00300
K00143	OCG00854	ko01110
K00143	OCG00854	ko01100
K00145	OCG00666	ko01230
K00145	OCG00666	ko01100
K00145	OCG00666	ko01210
K00145	OCG00666	ko01110
K00145	OCG00666	ko00220
K00161	OCG00454	ko01120
K00161	OCG00454	ko00020
K00161	OCG00454	ko05415
K00161	OCG00454	ko00010
K00161	OCG00454	ko01100
K00161	OCG00454	ko04066
K00161	OCG00454	ko05230
K00161	OCG00454	ko01110
K00161	OCG00454	ko04922
K00161	OCG00454	ko00620
K00161	OCG00454	ko01200
K00162	OCG00204	ko01200
K00162	OCG00204	ko04066
K00162	OCG00204	ko05415
K00162	OCG00204	ko01120
K00162	OCG00204	ko04922
K00162	OCG00204	ko00010
K00162	OCG00204	ko00620
K00162	OCG00204	ko01100
K00162	OCG00204	ko05230
K00162	OCG00204	ko00020
K00162	OCG00204	ko01110
K00164	OCG00783	ko01120
K00164	OCG00783	ko01200
K00164	OCG00783	ko00020
K00164	OCG00783	ko01100
K00164	OCG00783	ko01110
K00211	OCG00773	ko01230
K00211	OCG00773	ko01100
K00211	OCG00773	ko00400
K00211	OCG00773	ko01110
K00222	OCG00339	ko01100
K00222	OCG00339	ko01110
K00222	OCG00339	ko00100
K00223	OCG00845	ko01100
K00223	OCG00845	ko00100
K00223	OCG00845	ko01110
K00227	OCG00396	ko01110
K00227	OCG00396	ko00100
K00227	OCG00396	ko01100
K00228	OCG00357	ko01110
K00228	OCG00357	ko00860
K00228	OCG00357	ko01100
K00228	OCG00357	ko01240
K00231	OCG07076	ko01100
K00231	OCG07076	ko00860
K00231	OCG07076	ko01240
K00231	OCG07076	ko01110
K00231	OCG02624	ko01100
K00231	OCG02624	ko00860
K00231	OCG02624	ko01240
K00231	OCG02624	ko01110
K00232	OCG00028	ko03320
K00232	OCG00028	ko04936
K00232	OCG00028	ko00410
K00232	OCG00028	ko00640
K00232	OCG00028	ko04146
K00232	OCG00028	ko01040
K00232	OCG00028	ko01200
K00232	OCG00028	ko04024
K00232	OCG00028	ko01100
K00232	OCG00028	ko00592
K00232	OCG00028	ko01110
K00232	OCG00028	ko00071
K00232	OCG00028	ko01212
K00232	OCG10217	ko03320
K00232	OCG10217	ko04936
K00232	OCG10217	ko00410
K00232	OCG10217	ko00640
K00232	OCG10217	ko04146
K00232	OCG10217	ko01040
K00232	OCG10217	ko01200
K00232	OCG10217	ko04024
K00232	OCG10217	ko01100
K00232	OCG10217	ko00592
K00232	OCG10217	ko01110
K00232	OCG10217	ko00071
K00232	OCG10217	ko01212
K00232	OCG04085	ko03320
K00232	OCG04085	ko04936
K00232	OCG04085	ko00410
K00232	OCG04085	ko00640
K00232	OCG04085	ko04146
K00232	OCG04085	ko01040
K00232	OCG04085	ko01200
K00232	OCG04085	ko04024
K00232	OCG04085	ko01100
K00232	OCG04085	ko00592
K00232	OCG04085	ko01110
K00232	OCG04085	ko00071
K00232	OCG04085	ko01212
K00232	OCG07644	ko03320
K00232	OCG07644	ko04936
K00232	OCG07644	ko00410
K00232	OCG07644	ko00640
K00232	OCG07644	ko04146
K00232	OCG07644	ko01040
K00232	OCG07644	ko01200
K00232	OCG07644	ko04024
K00232	OCG07644	ko01100
K00232	OCG07644	ko00592
K00232	OCG07644	ko01110
K00232	OCG07644	ko00071
K00232	OCG07644	ko01212
K00234	OCG00061	ko01100
K00234	OCG00061	ko05016
K00234	OCG00061	ko05208
K00234	OCG00061	ko04714
K00234	OCG00061	ko05020
K00234	OCG00061	ko01200
K00234	OCG00061	ko05012
K00234	OCG00061	ko05010
K00234	OCG00061	ko05014
K00234	OCG00061	ko04932
K00234	OCG00061	ko01120
K00234	OCG00061	ko01110
K00234	OCG00061	ko05415
K00234	OCG00061	ko00020
K00234	OCG00061	ko05022
K00234	OCG00061	ko00190
K00235	OCG01221	ko01200
K00235	OCG01221	ko05020
K00235	OCG01221	ko04932
K00235	OCG01221	ko01100
K00235	OCG01221	ko01110
K00235	OCG01221	ko05016
K00235	OCG01221	ko05022
K00235	OCG01221	ko05012
K00235	OCG01221	ko05415
K00235	OCG01221	ko05208
K00235	OCG01221	ko00020
K00235	OCG01221	ko05010
K00235	OCG01221	ko04714
K00235	OCG01221	ko00190
K00235	OCG01221	ko01120
K00235	OCG01221	ko05014
K00237	OCG01392	ko05020
K00237	OCG01392	ko05415
K00237	OCG01392	ko01110
K00237	OCG01392	ko05208
K00237	OCG01392	ko05022
K00237	OCG01392	ko04932
K00237	OCG01392	ko05016
K00237	OCG01392	ko01100
K00237	OCG01392	ko01200
K00237	OCG01392	ko01120
K00237	OCG01392	ko00020
K00237	OCG01392	ko05014
K00237	OCG01392	ko00190
K00237	OCG01392	ko04714
K00237	OCG01392	ko05012
K00237	OCG01392	ko05010
K00237	OCG01131	ko05020
K00237	OCG01131	ko05415
K00237	OCG01131	ko01110
K00237	OCG01131	ko05208
K00237	OCG01131	ko05022
K00237	OCG01131	ko04932
K00237	OCG01131	ko05016
K00237	OCG01131	ko01100
K00237	OCG01131	ko01200
K00237	OCG01131	ko01120
K00237	OCG01131	ko00020
K00237	OCG01131	ko05014
K00237	OCG01131	ko00190
K00237	OCG01131	ko04714
K00237	OCG01131	ko05012
K00237	OCG01131	ko05010
K00239	OCG00061	ko00650
K00239	OCG00061	ko01120
K00239	OCG00061	ko00720
K00239	OCG00061	ko00190
K00239	OCG00061	ko05134
K00239	OCG00061	ko01100
K00239	OCG00061	ko00020
K00239	OCG00061	ko01200
K00239	OCG00061	ko01110
K00240	OCG01221	ko00720
K00240	OCG01221	ko00020
K00240	OCG01221	ko01200
K00240	OCG01221	ko00190
K00240	OCG01221	ko01120
K00240	OCG01221	ko00650
K00240	OCG01221	ko01100
K00240	OCG01221	ko01110
K00240	UNI1070	ko00720
K00240	UNI1070	ko00020
K00240	UNI1070	ko01200
K00240	UNI1070	ko00190
K00240	UNI1070	ko01120
K00240	UNI1070	ko00650
K00240	UNI1070	ko01100
K00240	UNI1070	ko01110
K00249	OCG06969	ko01212
K00249	OCG06969	ko03320
K00249	OCG06969	ko00071
K00249	OCG06969	ko00280
K00249	OCG06969	ko01110
K00249	OCG06969	ko04936
K00249	OCG06969	ko01100
K00249	OCG03524	ko01212
K00249	OCG03524	ko03320
K00249	OCG03524	ko00071
K00249	OCG03524	ko00280
K00249	OCG03524	ko01110
K00249	OCG03524	ko04936
K00249	OCG03524	ko01100
K00249	OCG08234	ko01212
K00249	OCG08234	ko03320
K00249	OCG08234	ko00071
K00249	OCG08234	ko00280
K00249	OCG08234	ko01110
K00249	OCG08234	ko04936
K00249	OCG08234	ko01100
K00254	OCG01226	ko01240
K00254	OCG01226	ko01100
K00254	OCG01226	ko00240
K00262	OCG03800	ko00910
K00262	OCG03800	ko00250
K00262	OCG03800	ko01100
K00262	OCG03800	ko00220
K00262	OCG03800	ko01120
K00262	OCG06059	ko00910
K00262	OCG06059	ko00250
K00262	OCG06059	ko01100
K00262	OCG06059	ko00220
K00262	OCG06059	ko01120
K00264	OCG00452	ko00250
K00264	OCG00452	ko00910
K00264	OCG00452	ko01120
K00264	OCG00452	ko01230
K00264	OCG00452	ko01110
K00264	OCG00452	ko01100
K00264	UNI3952	ko00250
K00264	UNI3952	ko00910
K00264	UNI3952	ko01120
K00264	UNI3952	ko01230
K00264	UNI3952	ko01110
K00264	UNI3952	ko01100
K00265	OCG00452	ko00250
K00265	OCG00452	ko00910
K00265	OCG00452	ko01230
K00265	OCG00452	ko01120
K00265	OCG00452	ko01100
K00265	OCG00452	ko01110
K00265	UNI3952	ko00250
K00265	UNI3952	ko00910
K00265	UNI3952	ko01230
K00265	UNI3952	ko01120
K00265	UNI3952	ko01100
K00265	UNI3952	ko01110
K00266	OCG00452	ko01230
K00266	OCG00452	ko01120
K00266	OCG00452	ko01100
K00266	OCG00452	ko00250
K00266	OCG00452	ko00910
K00266	OCG00452	ko01110
K00266	UNI3952	ko01230
K00266	UNI3952	ko01120
K00266	UNI3952	ko01100
K00266	UNI3952	ko00250
K00266	UNI3952	ko00910
K00266	UNI3952	ko01110
K00273	OCG03336	ko01110
K00273	OCG03336	ko01100
K00273	OCG03336	ko00470
K00273	OCG03336	ko04146
K00273	OCG03336	ko00311
K00273	OCG03336	ko00330
K00273	OCG03336	ko00260
K00273	OCG00629	ko01110
K00273	OCG00629	ko01100
K00273	OCG00629	ko00470
K00273	OCG00629	ko04146
K00273	OCG00629	ko00311
K00273	OCG00629	ko00330
K00273	OCG00629	ko00260
K00273	OCG05247	ko01110
K00273	OCG05247	ko01100
K00273	OCG05247	ko00470
K00273	OCG05247	ko04146
K00273	OCG05247	ko00311
K00273	OCG05247	ko00330
K00273	OCG05247	ko00260
K00273	OCG01993	ko01110
K00273	OCG01993	ko01100
K00273	OCG01993	ko00470
K00273	OCG01993	ko04146
K00273	OCG01993	ko00311
K00273	OCG01993	ko00330
K00273	OCG01993	ko00260
K00273	OCG02169	ko01110
K00273	OCG02169	ko01100
K00273	OCG02169	ko00470
K00273	OCG02169	ko04146
K00273	OCG02169	ko00311
K00273	OCG02169	ko00330
K00273	OCG02169	ko00260
K00274	OCG08655	ko05030
K00274	OCG08655	ko00380
K00274	OCG08655	ko00260
K00274	OCG08655	ko04728
K00274	OCG08655	ko00340
K00274	OCG08655	ko00350
K00274	OCG08655	ko00360
K00274	OCG08655	ko01110
K00274	OCG08655	ko00950
K00274	OCG08655	ko01100
K00274	OCG08655	ko00982
K00274	OCG08655	ko04726
K00274	OCG08655	ko05034
K00274	OCG08655	ko05031
K00274	OCG08655	ko05012
K00274	OCG08655	ko00330
K00275	OCG02492	ko01120
K00275	OCG02492	ko01240
K00275	OCG02492	ko01100
K00275	OCG02492	ko00750
K00275	OCG00382	ko01120
K00275	OCG00382	ko01240
K00275	OCG00382	ko01100
K00275	OCG00382	ko00750
K00275	OCG06846	ko01120
K00275	OCG06846	ko01240
K00275	OCG06846	ko01100
K00275	OCG06846	ko00750
K00276	OCG01685	ko00360
K00276	OCG01685	ko00350
K00276	OCG01685	ko00410
K00276	OCG01685	ko01110
K00276	OCG01685	ko01100
K00276	OCG01685	ko00960
K00276	OCG01685	ko00260
K00276	OCG01685	ko00950
K00276	OCG02951	ko00360
K00276	OCG02951	ko00350
K00276	OCG02951	ko00410
K00276	OCG02951	ko01110
K00276	OCG02951	ko01100
K00276	OCG02951	ko00960
K00276	OCG02951	ko00260
K00276	OCG02951	ko00950
K00281	OCG01296	ko01200
K00281	OCG01296	ko01110
K00281	OCG01296	ko00260
K00281	OCG01296	ko00630
K00281	OCG01296	ko01100
K00286	OCG00313	ko01230
K00286	OCG00313	ko01100
K00286	OCG00313	ko01110
K00286	OCG00313	ko00330
K00287	OCG01118	ko00790
K00287	OCG01118	ko01100
K00287	OCG01118	ko00670
K00287	OCG01118	ko01523
K00287	OCG01118	ko01240
K00287	UNI1266	ko00790
K00287	UNI1266	ko01100
K00287	UNI1266	ko00670
K00287	UNI1266	ko01523
K00287	UNI1266	ko01240
K00288	OCG00046	ko01100
K00288	OCG00046	ko00670
K00288	OCG00046	ko01120
K00288	OCG00046	ko01240
K00288	OCG03639	ko01100
K00288	OCG03639	ko00670
K00288	OCG03639	ko01120
K00288	OCG03639	ko01240
K00290	OCG00277	ko01110
K00290	OCG00277	ko01100
K00290	OCG00277	ko00310
K00290	OCG00277	ko01230
K00290	OCG00277	ko00300
K00294	OCG00766	ko01100
K00294	OCG00766	ko00330
K00294	OCG00766	ko00250
K00294	UNI1078	ko01100
K00294	UNI1078	ko00330
K00294	UNI1078	ko00250
K00295	OCG00215	ko00670
K00295	OCG00215	ko01100
K00297	UNI2028	ko00670
K00297	UNI2028	ko01200
K00297	UNI2028	ko01100
K00297	UNI2028	ko01120
K00297	UNI2028	ko00720
K00297	OCG00862	ko00670
K00297	OCG00862	ko01200
K00297	OCG00862	ko01100
K00297	OCG00862	ko01120
K00297	OCG00862	ko00720
K00297	OCG00734	ko00670
K00297	OCG00734	ko01200
K00297	OCG00734	ko01100
K00297	OCG00734	ko01120
K00297	OCG00734	ko00720
K00306	OCG07739	ko00310
K00306	OCG07739	ko01100
K00306	OCG07739	ko04146
K00306	OCG07739	ko00260
K00318	OCG03327	ko01110
K00318	OCG03327	ko00330
K00318	OCG03327	ko01100
K00326	OCG00662	ko00520
K00326	OCG01258	ko00520
K00326	OCG03536	ko00520
K00331	OCG01464	ko01100
K00331	OCG01464	ko00190
K00332	OCG00424	ko01100
K00332	OCG00424	ko00190
K00333	OCG01282	ko00190
K00333	OCG01282	ko01100
K00334	OCG00762	ko00190
K00334	OCG00762	ko01100
K00337	OCG09579	ko00190
K00337	OCG09579	ko01100
K00338	OCG00268	ko00190
K00338	OCG00268	ko01100
K00341	OCG07716	ko01100
K00341	OCG07716	ko00190
K00343	OCG11233	ko01100
K00343	OCG11233	ko00190
K00365	UNI6252	ko01100
K00365	UNI6252	ko01120
K00365	UNI6252	ko00230
K00365	UNI6252	ko00232
K00365	OCG01871	ko01100
K00365	OCG01871	ko01120
K00365	OCG01871	ko00230
K00365	OCG01871	ko00232
K00365	OCG10828	ko01100
K00365	OCG10828	ko01120
K00365	OCG10828	ko00230
K00365	OCG10828	ko00232
K00381	OCG00816	ko01120
K00381	OCG00816	ko01100
K00381	OCG00816	ko00920
K00382	OCG00287	ko00280
K00382	OCG00287	ko00620
K00382	OCG00287	ko00020
K00382	OCG00287	ko00010
K00382	OCG00287	ko01120
K00382	OCG00287	ko00380
K00382	OCG00287	ko01240
K00382	OCG00287	ko00260
K00382	OCG00287	ko00640
K00382	OCG00287	ko00310
K00382	OCG00287	ko01100
K00382	OCG00287	ko01200
K00382	OCG00287	ko01110
K00382	OCG00287	ko00630
K00383	OCG00867	ko01100
K00383	OCG00867	ko00480
K00383	OCG00867	ko04918
K00383	OCG00867	ko05415
K00384	OCG00236	ko00450
K00390	OCG03943	ko00920
K00390	OCG03943	ko01120
K00390	OCG03943	ko01100
K00390	OCG03434	ko00920
K00390	OCG03434	ko01120
K00390	OCG03434	ko01100
K00411	OCG00451	ko05010
K00411	OCG00451	ko04932
K00411	OCG00451	ko04260
K00411	OCG00451	ko00190
K00411	OCG00451	ko04714
K00411	OCG00451	ko05020
K00411	OCG00451	ko05415
K00411	OCG00451	ko05016
K00411	OCG00451	ko05012
K00411	OCG00451	ko02020
K00411	OCG00451	ko05022
K00411	OCG00451	ko01100
K00411	OCG00451	ko05208
K00411	OCG00451	ko05014
K00412	OCG07532	ko04714
K00412	OCG07532	ko05010
K00412	OCG07532	ko04260
K00412	OCG07532	ko05014
K00412	OCG07532	ko04932
K00412	OCG07532	ko05022
K00412	OCG07532	ko01100
K00412	OCG07532	ko02020
K00412	OCG07532	ko05012
K00412	OCG07532	ko05016
K00412	OCG07532	ko00190
K00412	OCG07532	ko05020
K00412	OCG07532	ko05208
K00412	OCG07532	ko05415
K00413	OCG00463	ko04932
K00413	OCG00463	ko05415
K00413	OCG00463	ko05020
K00413	OCG00463	ko04260
K00413	OCG00463	ko05010
K00413	OCG00463	ko04714
K00413	OCG00463	ko01100
K00413	OCG00463	ko05014
K00413	OCG00463	ko05022
K00413	OCG00463	ko00190
K00413	OCG00463	ko05012
K00413	OCG00463	ko02020
K00413	OCG00463	ko05016
