k_id	gene_id
K08711	OCG00092
K04802	OCG00095
K15128	OCG00096
K00122	OCG00097
K00586	OCG00098
K02936	OCG00100
K23887	OCG00101
K19564	OCG00103
K16261	OCG00105
K14376	OCG00106
K14842	OCG00107
K04393	OCG00109
K15084	OCG00110
K23469	OCG00111
K00589	OCG00112
K03885	OCG00113
K08139	OCG00114
K05853	OCG00115
K01537	OCG00115
K02978	OCG00116
K01166	OCG00117
K07375	OCG00122
K14005	OCG00123
K19801	OCG00125
K02985	OCG00126
K03263	OCG00127
K01624	OCG00128
K03955	OCG00129
K02078	OCG00129
K03016	OCG00130
K01918	OCG00131
K11252	OCG00132
K18164	OCG00133
K00830	OCG00135
K00863	OCG00136
K09613	OCG00137
K04709	OCG00138
K14416	OCG00139
K20347	OCG00140
K13509	OCG00141
K00655	OCG00141
K14264	OCG00142
K10743	OCG00145
K07179	OCG00146
K20456	OCG00147
K22132	OCG00148
K12827	OCG00149
K03243	OCG00150
K02949	OCG00151
K02736	OCG00152
K03457	OCG00153
K02938	OCG00155
K05349	OCG00156
K13024	OCG00158
K14290	OCG00160
K02999	OCG00162
K01001	OCG00162
K05538	OCG00163
K11129	OCG00164
K17278	OCG00164
K24137	OCG00165
K00102	OCG00166
K08197	OCG00167
K02263	OCG00169
K18803	OCG00170
K12852	OCG00171
K17806	OCG00172
K18477	OCG00173
K02906	OCG00174
K01923	OCG00175
K03386	OCG00177
K15356	OCG00178
K12946	OCG00179
K22391	OCG00180
K21752	OCG00181
K15322	OCG00182
K12626	OCG00183
K12196	OCG00184
K02920	OCG00185
K02919	OCG00185
K17255	OCG00186
K01649	OCG00187
K00133	OCG00188
K08738	OCG00189
K03695	OCG00190
K00762	OCG00192
K03372	OCG00193
K00052	OCG00193
K12859	OCG00194
K02212	OCG00195
K03942	OCG00196
K14292	OCG00197
K11434	OCG00198
K14328	OCG00199
K08178	OCG00200
K10752	OCG00201
K14758	OCG00202
K14309	OCG00203
K00162	OCG00204
K03115	OCG00205
K02867	OCG00206
K01557	OCG00207
K22139	OCG00207
K14846	OCG00208
K02992	OCG00209
K01476	OCG00210
K24730	OCG00211
K15565	OCG00211
K10251	OCG00213
K03177	OCG00214
K00295	OCG00215
K01810	OCG00218
K15544	OCG00219
K14561	OCG00220
K03115	OCG00222
K19564	OCG00223
K01336	OCG00224
K00763	OCG00225
K10427	OCG00225
K01802	OCG00226
K00814	OCG00227
K06927	OCG00228
K09550	OCG00229
K15118	OCG00230
K17686	OCG00231
K14856	OCG00232
K13354	OCG00233
K12462	OCG00234
K00384	OCG00236
K15628	OCG00237
K00940	OCG00238
K00838	OCG00239
K11293	OCG00239
K03014	OCG00240
K05657	OCG00241
K01958	OCG00242
K11251	OCG00243
K00609	OCG00245
K06666	OCG00248
K23481	OCG00250
K09493	OCG00251
K20360	OCG00253
K13953	OCG00254
K01870	OCG00256
K05349	OCG00257
K02324	OCG00258
K02607	OCG00258
K01535	OCG00260
K00566	OCG00261
K03448	OCG00262
K15505	OCG00264
K11401	OCG00264
K11838	OCG00265
K24104	OCG00267
K00338	OCG00268
K01611	OCG00269
K19787	OCG00271
K12843	OCG00273
K19842	OCG00274
K10246	OCG00274
K19589	OCG00276
K00290	OCG00277
K20366	OCG00278
K04354	OCG00279
K06173	OCG00280
K02264	OCG00281
K07889	OCG00282
K01265	OCG00283
K02269	OCG00283
K03233	OCG00285
K00799	OCG00285
K14787	OCG00286
K00382	OCG00287
K14009	OCG00288
K23114	OCG00289
K03029	OCG00290
K02541	OCG00291
K01647	OCG00292
K19225	OCG00293
K09831	OCG00294
K00030	OCG00295
K12393	OCG00296
K07304	OCG00297
K11996	OCG00298
K03020	OCG00299
K00766	OCG00300
K06030	OCG00301
K02155	OCG00302
K13280	OCG00304
K07152	OCG00305
K01772	OCG00306
K01930	OCG00307
K14642	OCG00308
K07827	OCG00309
K12399	OCG00310
K00858	OCG00311
K03063	OCG00312
K00286	OCG00313
K03113	OCG00315
K03352	OCG00315
K15334	OCG00316
K04797	OCG00317
K05864	OCG00318
K03767	OCG00318
K18532	OCG00319
K00759	OCG00321
K13535	OCG00322
K14843	OCG00324
K13337	OCG00326
K01183	OCG00328
K24195	OCG00329
K03965	OCG00331
K01855	OCG00332
K02940	OCG00333
K02922	OCG00334
K03627	OCG00335
K03439	OCG00336
K07300	OCG00337
K02877	OCG00338
K00222	OCG00339
K12584	OCG00340
K11232	OCG00341
K22758	OCG00343
K17103	OCG00344
K21618	OCG00345
K02503	OCG00346
K07561	OCG00350
K00627	OCG00352
K07573	OCG00353
K01267	OCG00354
K16261	OCG00355
K06063	OCG00355
K03509	OCG00356
K13346	OCG00356
K00228	OCG00357
K07562	OCG00358
K11204	OCG00359
K18045	OCG00360
K02537	OCG00361
K14403	OCG00362
K11096	OCG00362
K03248	OCG00363
K15113	OCG00364
K02964	OCG00365
K21456	OCG00366
K03035	OCG00367
K00856	OCG00368
K00611	OCG00369
K23856	OCG00369
K00432	OCG00369
K24083	OCG00371
K06889	OCG00371
K00418	OCG00372
K03364	OCG00373
K03145	OCG00375
K12946	OCG00375
K17081	OCG00376
K17607	OCG00377
K11303	OCG00378
K01409	OCG00379
K01881	OCG00380
K10755	OCG00381
K00275	OCG00382
K22137	OCG00383
K16185	OCG00384
K20238	OCG00385
K00574	OCG00385
K09578	OCG00386
K18588	OCG00387
K08736	OCG00388
K07897	OCG00389
K16186	OCG00390
K24272	OCG00390
K01922	OCG00391
K03123	OCG00392
K12771	OCG00393
K10573	OCG00394
K00227	OCG00396
K23750	OCG00398
K12197	OCG00399
K13354	OCG00400
K00963	OCG00401
K10365	OCG00402
K08065	OCG00403
K01866	OCG00404
K11314	OCG00405
K13711	OCG00406
K05283	OCG00407
K07555	OCG00407
K02137	OCG00408
K02113	OCG00408
K03252	OCG00409
K10849	OCG00410
K14319	OCG00412
K01493	OCG00414
K01101	OCG00415
K00121	OCG00416
K17267	OCG00417
K11665	OCG00418
K02265	OCG00419
K04348	OCG00421
K02732	OCG00421
K22856	OCG00422
K01900	OCG00423
K03936	OCG00424
K00332	OCG00424
K06944	OCG00425
K16073	OCG00427
K08997	OCG00428
K01883	OCG00430
K01507	OCG00431
K11584	OCG00432
K14407	OCG00433
K17790	OCG00434
K03062	OCG00435
K11380	OCG00436
K04487	OCG00437
K10436	OCG00437
K14396	OCG00438
K10881	OCG00438
K03939	OCG00439
K00831	OCG00440
K22068	OCG00441
K14961	OCG00442
K03514	OCG00443
K03246	OCG00444
K03239	OCG00446
K13181	OCG00447
K04371	OCG00448
K06215	OCG00450
K00411	OCG00451
K00264	OCG00452
K00265	OCG00452
K00266	OCG00452
K12844	OCG00453
K00161	OCG00454
K24121	OCG00455
K10685	OCG00456
K03124	OCG00457
K15441	OCG00458
K20303	OCG00459
K02941	OCG00460
K02864	OCG00460
K14962	OCG00461
K02959	OCG00462
K00413	OCG00463
K10256	OCG00464
K18328	OCG00464
K17278	OCG00465
K14753	OCG00466
K02735	OCG00467
K22530	OCG00468
K02146	OCG00469
K00026	OCG00470
K00029	OCG00471
K02880	OCG00472
K08513	OCG00473
K15371	OCG00474
K14573	OCG00474
K12831	OCG00475
K01870	OCG00476
K12351	OCG00477
K13719	OCG00477
K07390	OCG00478
K04486	OCG00479
K22723	OCG00480
K15331	OCG00481
K02971	OCG00481
K01764	OCG00483
K03841	OCG00484
K15161	OCG00485
K01756	OCG00486
K07305	OCG00487
K16330	OCG00488
K17891	OCG00488
K17783	OCG00488
K08287	OCG00489
K10577	OCG00491
K10357	OCG00492
K00101	OCG00492
K00787	OCG00493
K06018	OCG00494
K05759	OCG00495
K00602	OCG00496
K00697	OCG00497
K02865	OCG00498
K12870	OCG00499
K13341	OCG00502
K10858	OCG00503
K20221	OCG00504
K01937	OCG00505
K09521	OCG00506
K01070	OCG00507
K15361	OCG00509
K03039	OCG00510
K14820	OCG00512
K18156	OCG00513
K23785	OCG00514
K13119	OCG00515
K07566	OCG00515
K10755	OCG00516
K02990	OCG00516
K09829	OCG00517
K11557	OCG00517
K18162	OCG00518
K15296	OCG00519
K00507	OCG00520
K00801	OCG00521
K02962	OCG00522
K09522	OCG00523
K22071	OCG00524
K04755	OCG00524
K14565	OCG00527
K01013	OCG00528
K01613	OCG00529
K01381	OCG00530
K00036	OCG00531
K07575	OCG00532
K03131	OCG00533
K03238	OCG00534
K02136	OCG00535
K01527	OCG00536
K00794	OCG00537
K02134	OCG00539
K02114	OCG00539
K01866	OCG00540
K17972	OCG00541
K20280	OCG00542
K03262	OCG00543
K11883	OCG00545
K05757	OCG00546
K03424	OCG00548
K10949	OCG00549
K04709	OCG00551
K18183	OCG00552
K04078	OCG00553
K12160	OCG00554
K14785	OCG00555
K17069	OCG00556
K01740	OCG00556
K11108	OCG00557
K14773	OCG00559
K11227	OCG00560
K05286	OCG00561
K00873	OCG00562
K00868	OCG00563
K10398	OCG00564
K00058	OCG00566
K01736	OCG00568
K12272	OCG00568
K12493	OCG00569
K07478	OCG00570
K08856	OCG00571
K03025	OCG00572
K01610	OCG00573
K22138	OCG00574
K05994	OCG00576
K17800	OCG00577
K09539	OCG00579
K02921	OCG00580
K00111	OCG00581
K23490	OCG00582
K03031	OCG00583
K22140	OCG00584
K09827	OCG00584
K01899	OCG00585
K01902	OCG00585
K06072	OCG00586
K20302	OCG00587
K06943	OCG00588
K20791	OCG00589
K01519	OCG00590
K22075	OCG00592
K03179	OCG00593
K03320	OCG00594
K14563	OCG00596
K06013	OCG00598
K11313	OCG00599
K06965	OCG00601
K00797	OCG00604
K09500	OCG00605
K00804	OCG00606
K10734	OCG00607
K14154	OCG00608
K00878	OCG00608
K00788	OCG00608
K07513	OCG00609
K00626	OCG00609
K11254	OCG00609
K00620	OCG00610
K14709	OCG00611
K05954	OCG00613
K10703	OCG00614
K03847	OCG00615
K15430	OCG00617
K11407	OCG00618
K04794	OCG00621
K15620	OCG00622
K01652	OCG00623
K01834	OCG00624
K10580	OCG00625
K11131	OCG00626
K02891	OCG00627
K00273	OCG00629
K12608	OCG00630
K00876	OCG00631
K14852	OCG00632
K01412	OCG00633
K02875	OCG00634
K14808	OCG00635
K01889	OCG00636
K12479	OCG00637
K15110	OCG00638
K04711	OCG00639
K23564	OCG00640
K09553	OCG00641
K17908	OCG00642
K01893	OCG00643
K10967	OCG00644
K03854	OCG00644
K13617	OCG00645
K02542	OCG00646
K04499	OCG00647
K00088	OCG00648
K03146	OCG00649
K17794	OCG00650
K06990	OCG00651
K01581	OCG00652
K06287	OCG00653
K03495	OCG00654
K14560	OCG00656
K18573	OCG00657
K04554	OCG00658
K01836	OCG00659
K21797	OCG00660
K02078	OCG00661
K00420	OCG00661
K00326	OCG00662
K25162	OCG00663
K14810	OCG00664
K10627	OCG00664
K12659	OCG00666
K00145	OCG00666
K20369	OCG00667
K02540	OCG00669
K15423	OCG00669
K02738	OCG00670
K00999	OCG00671
K09529	OCG00672
K03254	OCG00673
K03106	OCG00674
K10405	OCG00675
K03358	OCG00675
K14688	OCG00677
K22698	OCG00678
K23404	OCG00679
K23541	OCG00680
K08851	OCG00681
K13507	OCG00682
K11230	OCG00683
K00851	OCG00684
K17605	OCG00685
K12404	OCG00686
K16055	OCG00687
K11826	OCG00688
K02955	OCG00689
K06210	OCG00690
K01663	OCG00691
K13577	OCG00692
K00033	OCG00693
K11843	OCG00694
K03036	OCG00695
K15192	OCG00696
K17617	OCG00697
K00981	OCG00698
K00658	OCG00699
K00728	OCG00701
K14663	OCG00702
K00560	OCG00703
K03952	OCG00704
K15015	OCG00706
K14654	OCG00707
K05609	OCG00709
K05956	OCG00710
K00053	OCG00711
K12624	OCG00712
K00135	OCG00714
K00889	OCG00715
K10245	OCG00716
K01497	OCG00717
K23499	OCG00718
K03028	OCG00719
K02981	OCG00720
K24104	OCG00721
K09680	OCG00722
K01210	OCG00723
K02148	OCG00724
K12845	OCG00726
K03937	OCG00727
K03064	OCG00728
K15102	OCG00729
K11304	OCG00730
K00872	OCG00731
K06027	OCG00732
K14006	OCG00733
K10684	OCG00733
K25004	OCG00734
K00297	OCG00734
K12823	OCG00736
K10772	OCG00736
K17878	OCG00737
K14635	OCG00738
K11279	OCG00739
K06639	OCG00740
K01440	OCG00741
K08281	OCG00741
K14779	OCG00742
K10751	OCG00745
K01115	OCG00746
K13342	OCG00747
K14152	OCG00748
K00013	OCG00748
K13342	OCG00748
K02997	OCG00749
K03237	OCG00750
K02954	OCG00751
K01597	OCG00752
K08744	OCG00752
K02872	OCG00753
K03030	OCG00754
K13076	OCG00755
K01251	OCG00756
K01892	OCG00757
K00764	OCG00758
K12811	OCG00759
K06630	OCG00760
K18097	OCG00761
K03943	OCG00762
K00334	OCG00762
K18043	OCG00763
K01749	OCG00764
K00761	OCG00765
K00294	OCG00766
K14997	OCG00768
K03949	OCG00769
K03781	OCG00770
K01852	OCG00771
K01469	OCG00772
K00211	OCG00773
K04563	OCG00774
K15436	OCG00775
K14805	OCG00776
K01835	OCG00777
K00344	OCG00777
K18752	OCG00778
K08272	OCG00779
K18442	OCG00780
K03178	OCG00781
K00164	OCG00783
K14536	OCG00784
K23358	OCG00785
K20792	OCG00787
K10844	OCG00788
K01702	OCG00789
K01703	OCG00789
K01704	OCG00789
K03022	OCG00790
K00327	OCG00791
K17301	OCG00792
K16275	OCG00792
K03235	OCG00793
K02726	OCG00793
K00993	OCG00794
K14558	OCG00795
K11262	OCG00796
K17053	OCG00797
K03232	OCG00798
K17969	OCG00799
K06174	OCG00800
K11367	OCG00801
K02977	OCG00802
K20359	OCG00803
K10875	OCG00805
K03144	OCG00805
K03695	OCG00806
K03845	OCG00808
K01069	OCG00809
K14209	OCG00810
K02725	OCG00812
K00511	OCG00813
K08266	OCG00815
K00381	OCG00816
K01537	OCG00817
K24730	OCG00817
K15565	OCG00817
K12869	OCG00818
K12599	OCG00820
K02209	OCG00821
K11805	OCG00821
K17770	OCG00822
K02132	OCG00823
K02111	OCG00823
K00641	OCG00827
K01580	OCG00828
K08852	OCG00829
K07466	OCG00830
K16261	OCG00831
K01869	OCG00832
K05758	OCG00834
K22337	OCG00835
K08866	OCG00835
K14015	OCG00836
K17893	OCG00837
K06877	OCG00838
K14569	OCG00839
K12619	OCG00840
K01809	OCG00840
K01897	OCG00841
K01868	OCG00842
K14950	OCG00843
K14729	OCG00844
K00059	OCG00844
K00223	OCG00845
K12830	OCG00846
K12603	OCG00847
K19612	OCG00847
K18729	OCG00847
K04646	OCG00848
K00605	OCG00849
K12860	OCG00850
K08490	OCG00851
K17979	OCG00852
K01868	OCG00853
K00143	OCG00854
K15083	OCG00854
K01886	OCG00855
K03593	OCG00856
K06874	OCG00857
K03163	OCG00858
K11086	OCG00860
K13333	OCG00861
K00555	OCG00861
K00297	OCG00862
K10848	OCG00863
K09498	OCG00864
K19998	OCG00865
K00383	OCG00867
K01011	OCG00868
K14797	OCG00869
K02886	OCG00870
K04077	OCG00871
K15222	OCG00871
K11808	OCG00872
K01589	OCG00872
K01588	OCG00872
K12585	OCG00873
K11098	OCG00874
K12815	OCG00875
K11594	OCG00876
K01881	OCG00877
K11541	OCG00878
K01955	OCG00878
K00609	OCG00878
K12761	OCG00879
K07198	OCG00879
K07300	OCG00879
K09518	OCG00880
K02320	OCG00881
K03522	OCG00882
K00559	OCG00883
K24826	OCG00883
K08735	OCG00884
K17496	OCG00885
K12391	OCG00887
K01408	OCG00888
K17795	OCG00889
K07889	OCG00890
K00916	OCG00891
K13095	OCG00892
K03768	OCG00894
K14830	OCG00895
K07390	OCG00896
K17260	OCG00897
K07442	OCG00897
K03844	OCG00900
K03521	OCG00901
K07019	OCG00903
K22315	OCG00903
K14566	OCG00905
K03843	OCG00906
K14394	OCG00907
K15918	OCG00908
K03671	OCG00909
K11788	OCG00910
K01945	OCG00910
K01933	OCG00910
K00872	OCG00910
K14811	OCG00911
K01823	OCG00912
K02908	OCG00913
K03032	OCG00914
K01526	OCG00915
K19386	OCG00916
K00858	OCG00916
K08490	OCG00917
K12194	OCG00917
K14864	OCG00918
K02427	OCG00918
K11805	OCG00919
K03953	OCG00920
K15463	OCG00921
K15114	OCG00922
K03648	OCG00923
K12669	OCG00923
K14967	OCG00924
K08065	OCG00925
K01495	OCG00926
K02894	OCG00926
K07555	OCG00927
K03469	OCG00928
K08054	OCG00930
K02732	OCG00931
K13212	OCG00932
K09495	OCG00933
K23787	OCG00935
K02835	OCG00936
K22139	OCG00937
K01939	OCG00938
K03017	OCG00939
K23566	OCG00940
K02943	OCG00941
K18328	OCG00942
K15429	OCG00943
K00565	OCG00945
K03120	OCG00946
K17891	OCG00947
K01803	OCG00948
K02433	OCG00950
K15428	OCG00951
K00026	OCG00952
K01082	OCG00954
K03434	OCG00955
K07393	OCG00956
K01074	OCG00957
K03256	OCG00958
K12856	OCG00959
K01893	OCG00960
K17278	OCG00961
K15100	OCG00962
K19703	OCG00963
K18168	OCG00965
K01102	OCG00966
K12826	OCG00968
K15289	OCG00969
K00555	OCG00970
K24029	OCG00971
K03946	OCG00972
K01057	OCG00973
K15732	OCG00974
K12873	OCG00975
K14855	OCG00976
K11092	OCG00977
K24736	OCG00978
K05863	OCG00979
K10576	OCG00980
K12620	OCG00981
K18849	OCG00982
K01807	OCG00983
K19054	OCG00984
K01599	OCG00985
K06875	OCG00988
K17656	OCG00989
K02147	OCG00990
K03850	OCG00992
K00817	OCG00993
K02739	OCG00994
K11827	OCG00995
K02905	OCG00996
K00606	OCG00997
K00077	OCG00997
K18278	OCG00998
K01166	OCG00999
K11885	OCG01000
K12624	OCG01000
K12184	OCG01001
K08516	OCG01002
K03037	OCG01004
K11128	OCG01006
K12572	OCG01007
K02259	OCG01008
K02139	OCG01009
K01952	OCG01010
K02304	OCG01013
K03644	OCG01014
K07178	OCG01015
K14776	OCG01016
K15542	OCG01017
K07874	OCG01018
K17804	OCG01019
K02219	OCG01020
K02358	OCG01021
K02882	OCG01024
K10356	OCG01025
K14855	OCG01025
K10956	OCG01026
K14824	OCG01027
K15040	OCG01028
K02729	OCG01029
K14778	OCG01030
K14833	OCG01031
K02932	OCG01032
K02881	OCG01032
K13025	OCG01033
K10591	OCG01034
K01875	OCG01035
K20367	OCG01036
K19951	OCG01037
K02214	OCG01038
K03027	OCG01039
K02876	OCG01040
K07375	OCG01041
K22503	OCG01041
K09494	OCG01042
K09140	OCG01043
K03327	OCG01044
K00938	OCG01045
K11518	OCG01046
K00797	OCG01047
K10847	OCG01047
K07942	OCG01048
K02731	OCG01050
K14574	OCG01051
K00844	OCG01052
K04713	OCG01053
K03164	OCG01054
K14191	OCG01055
K14848	OCG01056
K00942	OCG01057
K03265	OCG01058
K03321	OCG01059
K16302	OCG01060
K01953	OCG01061
K17065	OCG01062
K14002	OCG01063
K00958	OCG01064
K03626	OCG01065
K04532	OCG01066
K14809	OCG01067
K01551	OCG01068
K16948	OCG01069
K12858	OCG01070
K03234	OCG01071
K10597	OCG01072
K03237	OCG01072
K02728	OCG01073
K00987	OCG01074
K20472	OCG01077
K16938	OCG01078
K14802	OCG01079
K01530	OCG01079
K03061	OCG01080
K15206	OCG01081
K20279	OCG01082
K11341	OCG01083
K03679	OCG01084
K20463	OCG01085
K20242	OCG01085
K03038	OCG01086
K01733	OCG01087
K13939	OCG01088
K00796	OCG01088
K00950	OCG01088
K08332	OCG01090
K12041	OCG01091
K14774	OCG01094
K01915	OCG01095
K14007	OCG01096
K03235	OCG01097
K03015	OCG01098
K02871	OCG01099
K05543	OCG01100
K16075	OCG01101
K02150	OCG01101
K03257	OCG01102
K14708	OCG01103
K00729	OCG01104
K01889	OCG01105
K14293	OCG01106
K16946	OCG01106
K17759	OCG01107
K14537	OCG01108
K12581	OCG01109
K14538	OCG01110
K01783	OCG01111
K14439	OCG01112
K22074	OCG01113
K08294	OCG01114
K01764	OCG01114
K10754	OCG01115
K02917	OCG01116
K02151	OCG01117
K00287	OCG01118
K02929	OCG01119
K12275	OCG01120
K13126	OCG01121
K06126	OCG01122
K03687	OCG01123
K05824	OCG01124
K15264	OCG01125
K05355	OCG01126
K01194	OCG01127
K12180	OCG01127
K01940	OCG01128
K03133	OCG01129
K08900	OCG01130
K00237	OCG01131
K01254	OCG01132
K00791	OCG01132
K00721	OCG01133
K04708	OCG01134
K14963	OCG01135
K11884	OCG01136
K01410	OCG01137
K02437	OCG01139
K13525	OCG01140
K03264	OCG01141
K06269	OCG01142
K23563	OCG01142
K06199	OCG01143
K01764	OCG01144
K00311	OCG01145
K00549	OCG01146
K05863	OCG01147
K03259	OCG01148
K02900	OCG01150
K14832	OCG01151
K20346	OCG01152
K03002	OCG01154
K12820	OCG01155
K02993	OCG01156
K07151	OCG01158
K05925	OCG01159
K02976	OCG01160
K06674	OCG01161
K15105	OCG01161
K00728	OCG01162
K07936	OCG01163
K14831	OCG01164
K02737	OCG01165
K02868	OCG01165
K15628	OCG01167
K13800	OCG01168
K00939	OCG01168
K01687	OCG01169
K22685	OCG01170
K00931	OCG01171
K02355	OCG01172
K23010	OCG01173
K06944	OCG01174
K04705	OCG01175
K12828	OCG01176
K01490	OCG01177
K00877	OCG01177
K01613	OCG01178
K13431	OCG01178
K01874	OCG01179
K02202	OCG01180
K04441	OCG01181
K01698	OCG01182
K01890	OCG01183
K02896	OCG01184
K24272	OCG01186
K01653	OCG01187
K03657	OCG01188
K18423	OCG01189
K17425	OCG01190
K03094	OCG01191
K06685	OCG01192
K01885	OCG01193
K00772	OCG01194
K18159	OCG01195
K20362	OCG01196
K11681	OCG01197
K11599	OCG01198
K13519	OCG01199
K06677	OCG01200
K20793	OCG01201
K00927	OCG01202
K15109	OCG01203
K03000	OCG01204
K04382	OCG01205
K02145	OCG01206
K03347	OCG01207
K05236	OCG01208
K04460	OCG01208
K08832	OCG01209
K17302	OCG01210
K03844	OCG01210
K01265	OCG01211
K14807	OCG01212
K02889	OCG01213
K17497	OCG01214
K13172	OCG01214
K02866	OCG01215
K19852	OCG01216
K01872	OCG01219
K00820	OCG01220
K00235	OCG01221
K00240	OCG01221
K13350	OCG01222
K24194	OCG01223
K02896	OCG01224
K14768	OCG01225
K00254	OCG01226
K03934	OCG01227
K02935	OCG01229
K04482	OCG01230
K04739	OCG01231
K02138	OCG01231
K12580	OCG01232
K01873	OCG01233
K06684	OCG01234
K10747	OCG01235
K06013	OCG01235
K02730	OCG01236
K03842	OCG01237
K14004	OCG01238
K01867	OCG01239
K00953	OCG01240
K12826	OCG01240
K01638	OCG01241
K11088	OCG01242
K08869	OCG01243
K01693	OCG01244
K02995	OCG01245
K15456	OCG01246
K10843	OCG01248
K13682	OCG01249
K24205	OCG01250
K12394	OCG01251
K01754	OCG01253
K02947	OCG01254
K18670	OCG01255
K02127	OCG01256
K06158	OCG01257
K00326	OCG01258
K00928	OCG01259
K06685	OCG01260
K10908	OCG01261
K02873	OCG01262
K01288	OCG01263
K07565	OCG01264
K16066	OCG01265
K14168	OCG01266
K00671	OCG01267
K14791	OCG01268
K02930	OCG01269
K03650	OCG01271
K12193	OCG01272
K10756	OCG01273
K01228	OCG01274
K01694	OCG01275
K01696	OCG01275
K01695	OCG01275
K01817	OCG01275
K16944	OCG01276
K01637	OCG01277
K15498	OCG01278
K02915	OCG01279
K21864	OCG01280
K10389	OCG01280
K02685	OCG01281
K03935	OCG01282
K00333	OCG01282
K00793	OCG01283
K03008	OCG01284
K07870	OCG01285
K03253	OCG01286
K02727	OCG01287
K02112	OCG01288
K12812	OCG01289
K00819	OCG01290
K17866	OCG01291
K02734	OCG01292
K09496	OCG01293
K14016	OCG01293
K02987	OCG01295
K00281	OCG01296
K12580	OCG01297
K14556	OCG01298
K03183	OCG01299
K05544	OCG01300
K12818	OCG01301
K03033	OCG01302
K17498	OCG01303
K02973	OCG01304
K17757	OCG01305
K14859	OCG01306
K02208	OCG01307
K15116	OCG01308
K01880	OCG01309
K24104	OCG01310
K03065	OCG01311
K11836	OCG01312
K01626	OCG01312
K11806	OCG01313
K19476	OCG01314
K01850	OCG01315
K13621	OCG01316
K02684	OCG01317
K01950	OCG01318
K14816	OCG01319
K01626	OCG01320
K01658	OCG01321
K01817	OCG01321
K11251	OCG01324
K07893	OCG01325
K02885	OCG01326
K03013	OCG01327
K03097	OCG01328
K01867	OCG01328
K03242	OCG01330
K06961	OCG01331
K03767	OCG01332
K01802	OCG01332
K14555	OCG01334
K01755	OCG01335
K00789	OCG01336
K10753	OCG01338
K10746	OCG01339
K09499	OCG01340
K14539	OCG01341
K01634	OCG01342
K23678	OCG01342
K01876	OCG01343
K22684	OCG01344
K01951	OCG01345
K05917	OCG01346
K00939	OCG01347
K12198	OCG01348
K13338	OCG01350
K11839	OCG01352
K00654	OCG01353
K19783	OCG01354
K10865	OCG01356
K12383	OCG01356
K02332	OCG01357
K15902	OCG01357
K17900	OCG01358
K14815	OCG01359
K11672	OCG01360
K14835	OCG01361
K02870	OCG01362
K00621	OCG01363
K14568	OCG01364
K19525	OCG01365
K16261	OCG01367
K03950	OCG01368
K02883	OCG01369
K02934	OCG01370
K01489	OCG01372
K05765	OCG01374
K02150	OCG01378
K17435	OCG01378
K09659	OCG01379
K11778	OCG01380
K00765	OCG01380
K02937	OCG01384
K13566	OCG01385
K19704	OCG01386
K00720	OCG01387
K07342	OCG01388
K03142	OCG01389
K21196	OCG01390
K15083	OCG01391
K00237	OCG01392
K03017	OCG01392
K00765	OCG01393
K02951	OCG01395
K14849	OCG01396
K00767	OCG01397
K08658	OCG01398
K07052	OCG01398
K17605	OCG01399
K06655	OCG01400
K16946	OCG01401
K18466	OCG01402
K11483	OCG01403
K08337	OCG01404
K10686	OCG01405
K10258	OCG01406
K12383	OCG01407
K03676	OCG01408
K03011	OCG01409
K02868	OCG01410
K18798	OCG01413
K18802	OCG01414
