ID	J.AP01	J.AP02	J.AP03	J.AP05	J.AP06	J.AP07	J.AP08	J.AP09	J.AP10	J.AP11	J.AP12	J.AP15	J.AP16	J.AP17	J.AP18	J.AP19	J.AP21	J.AP22	J.AP23	J.AP24	J.AP25	J.AP26	J.AP27	J.AP28	J.AP30	J.AP31	J.AP32	J.AP33	J.AP34	J.AP35	J.AP36	J.AP37	J.AP38	J.AP39	J.AP40	J.FA01	J.FA02	J.FA03	J.FA05	J.FA06	J.FA07	J.FA08	J.FA09	J.FA10	J.FA11	J.FA12	J.FA13	J.FA14	J.FA15	J.FA16	J.FA17	J.FA18	J.FA19	J.FA21	J.FA22	J.FA23	J.FA25	J.FA26	J.FA27	J.FA28	J.FA29	J.FA30	J.FB01	J.FB02	J.FB04	J.FB05	J.FB06	J.FB07	J.FB08	J.FB09	J.FB10	J.FM01	J.FM02	J.FM03	J.FM04	J.FM11	J.FM14	J.FM21	J.FP01	J.FP02	J.FP03	J.FP04	J.FP05	J.FT01	J.FT02	J.FT03	J.FT06	J.FT07	J.FT08	J.FT09	J.FT10	J.FT12	J.FT13	J.FT14	J.FT15	J.FT16	J.FT17	J.FT18	J.FT19	J.FT20	J.FT21	J.TS11	J.TS21	J.TS29	J.TS33	J.TS41	
K__Transcription	0.05207138	0.04501896	0.04862191	0.05479149	0.04700385	0.04192961	0.05149109	0.05114144	0.05019150	0.04623678	0.04833320	0.04907393	0.05003152	0.05083220	0.05069380	0.05555639	0.04787898	0.04434670	0.05295883	0.03948388	0.04125511	0.03963618	0.04184326	0.04433815	0.04308591	0.03870930	0.03370629	0.04502993	0.03897476	0.03943896	0.04969203	0.05183889	0.05045030	0.04386974	0.05118591	0.04415468	0.04786533	0.05168025	0.04875894	0.04236785	0.04698363	0.04451499	0.04386467	0.04639624	0.04492484	0.04490252	0.04764385	0.04747918	0.04897387	0.03988613	0.04322708	0.04382649	0.04325889	0.04497176	0.04893721	0.04964157	0.03867190	0.04179626	0.04592130	0.04928168	0.05056175	0.04468818	0.04555175	0.03895694	0.04693697	0.04473781	0.04400772	0.04379233	0.04058908	0.04834120	0.04130552	0.04612123	0.04797668	0.04280745	0.04815501	0.04385431	0.04321946	0.04429152	0.04987376	0.03369299	0.04230872	0.03693140	0.03272208	0.05314138	0.04114347	0.04441196	0.04053519	0.04022151	0.04889008	0.04454193	0.04044592	0.04118858	0.04374697	0.04510463	0.04399145	0.03989392	0.04498642	0.04641316	0.04197120	0.04256160	0.04041469	0.04617313	0.05083382	0.04714561	0.04727645	0.04401424	
L__Replication__recombination_and_repair	0.05711703	0.05184698	0.06074542	0.07675403	0.06612218	0.07051443	0.07100295	0.06287941	0.05710880	0.07270926	0.06394456	0.06674057	0.05956975	0.06738065	0.06612046	0.06384601	0.07224126	0.06445362	0.06820336	0.07773540	0.07414313	0.07664996	0.08975743	0.08390619	0.07798174	0.07247502	0.07086260	0.08577227	0.09156279	0.08170366	0.07013702	0.06875692	0.06520644	0.05119241	0.06447924	0.06667323	0.06414832	0.06948694	0.06117674	0.06266719	0.06551359	0.06724578	0.06967382	0.06694150	0.06846516	0.06071537	0.06783665	0.06429703	0.06078057	0.07276205	0.06606685	0.06677077	0.06186720	0.06142496	0.06274699	0.05928275	0.05981493	0.06722136	0.06549808	0.06604727	0.06745823	0.06708932	0.06353023	0.06340108	0.07480822	0.06418510	0.05583184	0.06208023	0.05385253	0.06687045	0.06480891	0.06546368	0.06053897	0.06667969	0.06778282	0.06264283	0.06389936	0.06073019	0.07203617	0.06055256	0.05133581	0.06010518	0.05459978	0.06713366	0.06316475	0.05470659	0.06447134	0.06278031	0.05625342	0.06511879	0.06507980	0.06728332	0.06607150	0.06520034	0.06070250	0.05813851	0.06383357	0.06364537	0.05877218	0.06002160	0.05890288	0.06637078	0.07729258	0.07873819	0.06861066	0.06767670	
M__Cell_wall_membrane_envelope_biogenesis	0.07107886	0.06962990	0.07201035	0.07575381	0.06927002	0.06996809	0.06578323	0.06612680	0.07285639	0.07671762	0.07356214	0.07262061	0.06817085	0.07292535	0.07793046	0.07343679	0.07962998	0.07517280	0.07761151	0.07214590	0.06985415	0.06992243	0.07049265	0.06703315	0.07213125	0.07377693	0.07832071	0.06658062	0.06839504	0.06771386	0.07845431	0.07323456	0.08219205	0.06948103	0.07350075	0.07505534	0.07715309	0.07156254	0.07221411	0.07408025	0.07441747	0.07366719	0.06865174	0.07162777	0.06867042	0.07034513	0.07259839	0.07471220	0.07076296	0.07446730	0.07172296	0.07042466	0.07543755	0.07568307	0.06993230	0.07223100	0.07550258	0.07073746	0.07282404	0.07132131	0.07172017	0.07103952	0.07796439	0.07362925	0.06729868	0.07097844	0.06849368	0.06976744	0.07112693	0.07068436	0.07472376	0.07119588	0.07311221	0.07852962	0.06936676	0.06893900	0.07419532	0.07037396	0.06993215	0.07074708	0.06742428	0.06732939	0.06993999	0.07154288	0.07579310	0.06706701	0.07402105	0.07432653	0.06539037	0.07093233	0.06780117	0.06955557	0.07142937	0.07212634	0.06795090	0.07552977	0.07934449	0.07165702	0.07207777	0.06871237	0.07301821	0.06676022	0.06364532	0.06559420	0.06152211	0.07013067	
N__Cell_motility	0.00307381	0.00403683	0.00678452	0.00750571	0.00622722	0.00398648	0.00476056	0.00873458	0.00522735	0.00656855	0.00422707	0.00401852	0.00428569	0.00483065	0.00496127	0.00488663	0.00614173	0.00580781	0.00487856	0.00379211	0.00676355	0.00528061	0.00315633	0.00313840	0.00320447	0.00892572	0.00635527	0.00291416	0.00238936	0.00371667	0.00556551	0.00635687	0.00740952	0.00368966	0.00449660	0.00678686	0.00434297	0.00575040	0.00701617	0.00764119	0.00407994	0.00528859	0.00557550	0.00858304	0.00530738	0.00374311	0.00657831	0.00657622	0.00476350	0.00422651	0.00602698	0.00533301	0.00658857	0.00336462	0.00437303	0.00529783	0.00404253	0.00555816	0.00769750	0.00389710	0.00613546	0.00706984	0.00606325	0.00575144	0.00435789	0.00706604	0.00357983	0.00632937	0.00386160	0.00609504	0.00909627	0.00397100	0.00538297	0.00468142	0.00536491	0.00575002	0.00620713	0.00327754	0.00535042	0.00275490	0.00272212	0.00708250	0.00127533	0.00616280	0.00595778	0.00557682	0.00500812	0.00904329	0.00611482	0.00541180	0.00567469	0.00947175	0.00512061	0.00382528	0.00461935	0.00313197	0.00453644	0.00742743	0.00384431	0.00632768	0.00457331	0.00482588	0.00651344	0.00592158	0.00386702	0.00584764	
O__Posttranslational_modification__protein_turnover__chaperones	0.01893916	0.01853547	0.02134991	0.02060035	0.02314992	0.02339774	0.02346622	0.02294078	0.01941414	0.02237185	0.02124940	0.01967165	0.01810262	0.02127866	0.02071687	0.01789759	0.02037693	0.02002020	0.02073134	0.02437595	0.02213459	0.02674223	0.02370141	0.02528729	0.02594796	0.02417652	0.02656133	0.02467326	0.02456852	0.02411870	0.02012921	0.02266810	0.02156148	0.02018441	0.02074014	0.02499375	0.02159348	0.02251118	0.02117352	0.02477075	0.02349348	0.02383075	0.02166703	0.02504449	0.02389198	0.02325001	0.02424843	0.02431002	0.02172725	0.02941926	0.02521018	0.02486290	0.02161795	0.02496452	0.02296838	0.02104944	0.02462996	0.02335985	0.02043848	0.02259872	0.02131867	0.02510608	0.02636476	0.02697638	0.02421144	0.02385258	0.01776730	0.02393302	0.02312430	0.02567714	0.02261167	0.02386544	0.02235384	0.02388745	0.02395215	0.02192687	0.02407634	0.02755348	0.02229850	0.02394384	0.02256381	0.02177903	0.02476300	0.02191366	0.02171779	0.02318221	0.02501859	0.02711060	0.02275728	0.02296029	0.02302265	0.02250029	0.02509246	0.02286432	0.02339624	0.02285371	0.02322034	0.02353099	0.02590454	0.02438935	0.02317602	0.02564753	0.02235508	0.02639067	0.02390735	0.02288950	
P__Inorganic_ion_transport_and_metabolism	0.07044570	0.08232185	0.06641393	0.04980886	0.06325984	0.06562425	0.05955588	0.05141585	0.07292101	0.04751097	0.06224322	0.06670442	0.06037025	0.04753499	0.05290846	0.06092301	0.05116778	0.06632154	0.05380395	0.06900249	0.06923840	0.06692854	0.04721825	0.05636201	0.06651119	0.05463479	0.05235994	0.05191673	0.05753636	0.06694641	0.05175200	0.04988819	0.06106021	0.08071338	0.05467543	0.06325683	0.06050877	0.04286619	0.06010382	0.06171321	0.05928616	0.05566484	0.05968737	0.05363658	0.05709862	0.07904768	0.05944771	0.05120626	0.05816382	0.05995997	0.05642768	0.06496873	0.05682868	0.06915555	0.06291132	0.06075763	0.07332916	0.06137778	0.05479251	0.06111067	0.04727861	0.04751868	0.05287875	0.06951347	0.05119847	0.06515190	0.08824324	0.06390566	0.07431646	0.05941371	0.06336109	0.06059683	0.07003919	0.05899145	0.06626484	0.06449685	0.06030496	0.06624836	0.04969326	0.08195287	0.08052728	0.06916870	0.08490720	0.04669500	0.06978426	0.07005311	0.06529048	0.07040996	0.06832692	0.05796690	0.06426194	0.03870233	0.05787316	0.06603281	0.07852136	0.07158818	0.06060494	0.05952982	0.07575874	0.06214792	0.06519335	0.06004979	0.04542517	0.04422272	0.06529828	0.06101814	
Q__Secondary_metabolites_biosynthesis__transport_and_catabolism	0.00583673	0.00580435	0.00492461	0.00684841	0.00497131	0.00497599	0.00485673	0.00567861	0.00668853	0.00636214	0.00503219	0.00591641	0.00540158	0.00576094	0.00441222	0.00740622	0.00510214	0.00503974	0.00570980	0.00427264	0.00518050	0.00465286	0.00572528	0.00494410	0.00541819	0.00630474	0.00690177	0.00527790	0.00358622	0.00509217	0.00727074	0.00663612	0.00562099	0.00581895	0.00505864	0.00575337	0.00499333	0.00502636	0.00612284	0.00479675	0.00555893	0.00530307	0.00661291	0.00513546	0.00540626	0.00616045	0.00544588	0.00545968	0.00553028	0.00459255	0.00590170	0.00547651	0.00546153	0.00456719	0.00477338	0.00577386	0.00448886	0.00473653	0.00554686	0.00461230	0.00517981	0.00537303	0.00555212	0.00541101	0.00664737	0.00603030	0.00621656	0.00543272	0.00479160	0.00625617	0.00488537	0.00493207	0.00451982	0.00557159	0.00584139	0.00513833	0.00538062	0.00571660	0.00636211	0.00610994	0.00557548	0.00400282	0.00547060	0.00538456	0.00392844	0.00624725	0.00541580	0.00413320	0.00718887	0.00552500	0.00567293	0.00555105	0.00603849	0.00576549	0.00640455	0.00503370	0.00498375	0.00733586	0.00521978	0.00569663	0.00592905	0.00635028	0.00454407	0.00614618	0.00687047	0.00495614	
T__Signal_transduction_mechanisms	0.04707037	0.05109203	0.05236144	0.04740768	0.04762096	0.04481728	0.04618578	0.04676173	0.05302990	0.04757963	0.05015196	0.05147348	0.04683593	0.04294559	0.04821781	0.05387955	0.05288439	0.05189059	0.05132733	0.04821987	0.05135258	0.04803915	0.03495947	0.03682342	0.04401532	0.04255626	0.04583530	0.03584445	0.03875072	0.04336517	0.04792050	0.04878153	0.05446548	0.05134555	0.04709793	0.04762959	0.04462016	0.04288733	0.05297051	0.04844222	0.04100522	0.04242503	0.04520295	0.04394172	0.04059506	0.04871016	0.04161749	0.04273103	0.04488083	0.04151909	0.03989960	0.04556025	0.04985933	0.04327440	0.04373417	0.04863100	0.04157262	0.04567960	0.04686985	0.04665457	0.03995241	0.04048375	0.04085207	0.03718515	0.04088945	0.04812458	0.05176554	0.04173283	0.05284349	0.04354992	0.04977725	0.04275418	0.04894954	0.04245364	0.04639289	0.04543405	0.04385051	0.03654209	0.03765697	0.04526854	0.04806406	0.04380893	0.04319565	0.04922714	0.04469555	0.04827346	0.03973386	0.04576835	0.05086013	0.04039632	0.04855085	0.04014372	0.04304788	0.04964901	0.04655550	0.04087009	0.04636695	0.04859681	0.04711536	0.04387498	0.04432846	0.04236495	0.04195409	0.03413150	0.04480278	0.04777032	
U__Intracellular_trafficking__secretion__and_vesicular_transport	0.01212624	0.00759750	0.00879397	0.01646177	0.01116913	0.01152832	0.01141070	0.01303966	0.00866512	0.01184022	0.00904320	0.01080189	0.00948810	0.01151010	0.00937800	0.00883487	0.01170587	0.00934099	0.01022129	0.01135465	0.01139219	0.01271212	0.01151491	0.01442012	0.01074728	0.01162323	0.01110627	0.01178181	0.01058338	0.01262731	0.01052366	0.01019330	0.00955868	0.01211823	0.01194667	0.00920575	0.01201897	0.01226768	0.01014116	0.01160927	0.01133797	0.01037375	0.01313335	0.01243341	0.01146420	0.01123306	0.01308566	0.01224350	0.01046312	0.01357622	0.01260757	0.01136988	0.01063274	0.01067947	0.01171020	0.01040013	0.01083502	0.01073339	0.01075259	0.01214814	0.01310353	0.01255473	0.01263153	0.01431752	0.01286471	0.01243207	0.00878494	0.01423413	0.00788371	0.01304663	0.00998728	0.01032296	0.00986211	0.01103382	0.01575791	0.01044032	0.01014010	0.01429439	0.01403092	0.01094900	0.00954585	0.01103482	0.01098335	0.01289434	0.00939835	0.01157141	0.01148575	0.01175377	0.01017499	0.01007096	0.01209701	0.01505715	0.01232692	0.00995847	0.01298255	0.01004867	0.01043325	0.01182586	0.00939612	0.01155802	0.01040847	0.01236363	0.01342269	0.01148731	0.01266783	0.01104505	
V__Defense_mechanisms	0.03130143	0.02844536	0.03226674	0.03842526	0.03410617	0.03492312	0.03505479	0.03851644	0.03122284	0.03836136	0.03426716	0.03369659	0.03350554	0.03405287	0.03962720	0.04002345	0.03797805	0.03791403	0.04455964	0.03572965	0.03389614	0.03598712	0.03812215	0.03512343	0.03423196	0.03189475	0.03659082	0.03892972	0.03740728	0.03403982	0.03819593	0.03732090	0.03988830	0.02871121	0.03379009	0.03841423	0.03343832	0.03561316	0.03530247	0.03796636	0.03462589	0.03433762	0.03690189	0.03404270	0.03338739	0.03212021	0.03568762	0.03388331	0.03184932	0.03329117	0.03439894	0.03354961	0.03538382	0.03419139	0.03445359	0.03273602	0.03246156	0.03640387	0.03381518	0.03871054	0.03214729	0.03463140	0.03485259	0.03053162	0.03744206	0.03126932	0.03279972	0.02971617	0.03641162	0.03238873	0.03642919	0.03479457	0.03610438	0.03222352	0.03534941	0.03123437	0.03703229	0.03411989	0.03489471	0.03641291	0.02702981	0.03100492	0.02844517	0.03619663	0.03439189	0.02997743	0.03501501	0.03202405	0.03517277	0.03485650	0.03270272	0.04383651	0.03307598	0.03706723	0.03381662	0.02948142	0.03531242	0.03657916	0.03477643	0.03185033	0.03000847	0.03543341	0.03511924	0.03459481	0.03465045	0.03602283	
W__Extracellular_structures	0.00341323	0.00000985	0.00000000	0.00455036	0.00009938	0.00025092	0.00087540	0.00032941	0.00009630	0.00011980	0.00015338	0.00010342	0.00023615	0.00013780	0.00012144	0.00005875	0.00034434	0.00025402	0.00081960	0.00000000	0.00000000	0.00021025	0.00003900	0.00079909	0.00084655	0.00011961	0.00038531	0.00023025	0.00053268	0.00092268	0.00010658	0.00014289	0.00018278	0.00081339	0.00013785	0.00003827	0.00082652	0.00013464	0.00011109	0.00019817	0.00009203	0.00020675	0.00137679	0.00022739	0.00022193	0.00194069	0.00094058	0.00014464	0.00028301	0.00096858	0.00110989	0.00141884	0.00008555	0.00018746	0.00014430	0.00012142	0.00012551	0.00009654	0.00020017	0.00047741	0.00046127	0.00011066	0.00000000	0.00099154	0.00126788	0.00137695	0.00020229	0.00137476	0.00006846	0.00002832	0.00012427	0.00004860	0.00003941	0.00011721	0.00315470	0.00008433	0.00000988	0.00319947	0.00003573	0.00071993	0.00007450	0.00140540	0.00219576	0.00008208	0.00019039	0.00177142	0.00028229	0.00012586	0.00006859	0.00005088	0.00060021	0.00127304	0.00014361	0.00022899	0.00275278	0.00054864	0.00000000	0.00006101	0.00013761	0.00097129	0.00010532	0.00015636	0.00046138	0.00003703	0.00190776	0.00032049	
Z__Cytoskeleton	0.00008431	0.00004078	0.00048648	0.00014230	0.00076961	0.00029009	0.00032508	0.00022472	0.00011046	0.00079191	0.00041166	0.00009290	0.00043497	0.00052667	0.00066431	0.00005427	0.00055457	0.00041182	0.00055105	0.00029713	0.00020944	0.00013188	0.00022716	0.00016338	0.00020933	0.00019010	0.00061063	0.00000000	0.00045449	0.00040040	0.00014347	0.00028807	0.00030497	0.00002132	0.00057328	0.00079963	0.00046107	0.00016882	0.00052259	0.00045782	0.00060483	0.00033033	0.00006916	0.00054513	0.00016372	0.00012012	0.00070350	0.00034692	0.00043637	0.00021278	0.00041206	0.00015409	0.00034082	0.00031882	0.00017350	0.00017142	0.00029552	0.00083259	0.00015539	0.00025065	0.00030260	0.00043953	0.00038024	0.00012026	0.00059563	0.00029661	0.00000000	0.00028470	0.00020768	0.00035022	0.00040078	0.00022955	0.00068409	0.00024851	0.00000000	0.00028127	0.00035925	0.00032077	0.00044705	0.00000000	0.00009359	0.00022248	0.00000000	0.00038582	0.00016975	0.00007072	0.00041677	0.00010949	0.00014693	0.00038770	0.00031382	0.00043461	0.00028079	0.00035633	0.00019406	0.00048705	0.00032830	0.00044597	0.00009012	0.00023376	0.00042154	0.00027193	0.00016958	0.00032059	0.00010589	0.00026157	
